tensor(0.1365, device='cuda:0'),tensor(0.8258, device='cuda:0')
tensor(0.1365, device='cuda:0'),tensor(0.6546, device='cuda:0')
tensor(0.5205, device='cuda:0'),tensor(0.5140, device='cuda:0')
tensor(0.5094, device='cuda:0'),tensor(0.5126, device='cuda:0')
tensor(0.8055, device='cuda:0'),tensor(0.5373, device='cuda:0')
tensor(0.6978, device='cuda:0'),tensor(0.3496, device='cuda:0')
tensor(0.4783, device='cuda:0'),tensor(0.5433, device='cuda:0')
tensor(0.4056, device='cuda:0'),tensor(0.3966, device='cuda:0')
tensor(0.1739, device='cuda:0'),tensor(0.6670, device='cuda:0')
tensor(0.7877, device='cuda:0'),tensor(0.2419, device='cuda:0')
tensor(0.1634, device='cuda:0'),tensor(0.7750, device='cuda:0')
tensor(0.1429, device='cuda:0'),tensor(0.7469, device='cuda:0')
tensor(0.1397, device='cuda:0'),tensor(0.8012, device='cuda:0')
tensor(0.2201, device='cuda:0'),tensor(0.5097, device='cuda:0')
tensor(0.1580, device='cuda:0'),tensor(0.4848, device='cuda:0')
tensor(0.8078, device='cuda:0'),tensor(0.3794, device='cuda:0')
tensor(0.6001, device='cuda:0'),tensor(0.4804, device='cuda:0')
tensor(0.7769, device='cuda:0'),tensor(0.3948, device='cuda:0')
tensor(0.4243, device='cuda:0'),tensor(0.6990, device='cuda:0')
tensor(0.7412, device='cuda:0'),tensor(0.4843, device='cuda:0')
tensor(0.6469, device='cuda:0'),tensor(0.4873, device='cuda:0')
tensor(0.6685, device='cuda:0'),tensor(0.7140, device='cuda:0')
tensor(0.6674, device='cuda:0'),tensor(0.6246, device='cuda:0')
tensor(0.2664, device='cuda:0'),tensor(0.4346, device='cuda:0')
tensor(0.2555, device='cuda:0'),tensor(0.6300, device='cuda:0')
tensor(0.2836, device='cuda:0'),tensor(0.7200, device='cuda:0')
tensor(0.3949, device='cuda:0'),tensor(0.4374, device='cuda:0')
tensor(0.1259, device='cuda:0'),tensor(0.7523, device='cuda:0')
tensor(0.2379, device='cuda:0'),tensor(0.4168, device='cuda:0')
tensor(0.2994, device='cuda:0'),tensor(0.5013, device='cuda:0')
tensor(0.8694, device='cuda:0'),tensor(0.3723, device='cuda:0')
tensor(0.8862, device='cuda:0'),tensor(0.3300, device='cuda:0')
tensor(0.7404, device='cuda:0'),tensor(0.4267, device='cuda:0')
tensor(0.9058, device='cuda:0'),tensor(0.3067, device='cuda:0')
tensor(0.8969, device='cuda:0'),tensor(0.2890, device='cuda:0')
tensor(0.9414, device='cuda:0'),tensor(0.2476, device='cuda:0')
tensor(0.7770, device='cuda:0'),tensor(0.3527, device='cuda:0')
tensor(0.6989, device='cuda:0'),tensor(0.5100, device='cuda:0')
tensor(0.7564, device='cuda:0'),tensor(0.5119, device='cuda:0')
tensor(0.9060, device='cuda:0'),tensor(0.3940, device='cuda:0')
tensor(0.8964, device='cuda:0'),tensor(0.3841, device='cuda:0')
tensor(0.6973, device='cuda:0'),tensor(0.2590, device='cuda:0')
tensor(0.8941, device='cuda:0'),tensor(0.2764, device='cuda:0')
tensor(0.9411, device='cuda:0'),tensor(0.1682, device='cuda:0')
tensor(0.8433, device='cuda:0'),tensor(0.2032, device='cuda:0')
tensor(0.7512, device='cuda:0'),tensor(0.2420, device='cuda:0')
tensor(0.8081, device='cuda:0'),tensor(0.1872, device='cuda:0')
tensor(0.9391, device='cuda:0'),tensor(0.2019, device='cuda:0')
tensor(0.8901, device='cuda:0'),tensor(0.2215, device='cuda:0')
tensor(0.8994, device='cuda:0'),tensor(0.3016, device='cuda:0')
tensor(0.7667, device='cuda:0'),tensor(0.4438, device='cuda:0')
tensor(0.9316, device='cuda:0'),tensor(0.2088, device='cuda:0')
tensor(0.9477, device='cuda:0'),tensor(0.2198, device='cuda:0')
tensor(0.7361, device='cuda:0'),tensor(0.3491, device='cuda:0')
tensor(0.9250, device='cuda:0'),tensor(0.2936, device='cuda:0')
tensor(0.9311, device='cuda:0'),tensor(0.2957, device='cuda:0')
tensor(0.8797, device='cuda:0'),tensor(0.3313, device='cuda:0')
tensor(0.7417, device='cuda:0'),tensor(0.2907, device='cuda:0')
tensor(0.3037, device='cuda:0'),tensor(0.4814, device='cuda:0')
tensor(0.9398, device='cuda:0'),tensor(0.1412, device='cuda:0')
tensor(0.8777, device='cuda:0'),tensor(0.4440, device='cuda:0')
tensor(0.9159, device='cuda:0'),tensor(0.3714, device='cuda:0')
tensor(0.5843, device='cuda:0'),tensor(0.1822, device='cuda:0')
tensor(0.6584, device='cuda:0'),tensor(0.1015, device='cuda:0')
tensor(0.6811, device='cuda:0'),tensor(0.1334, device='cuda:0')
tensor(0.3542, device='cuda:0'),tensor(0.3030, device='cuda:0')
tensor(0.7186, device='cuda:0'),tensor(0.3034, device='cuda:0')
tensor(0.9133, device='cuda:0'),tensor(0.1715, device='cuda:0')
tensor(0.9089, device='cuda:0'),tensor(0.2704, device='cuda:0')
tensor(0.9201, device='cuda:0'),tensor(0.2431, device='cuda:0')
tensor(0.8321, device='cuda:0'),tensor(0.3473, device='cuda:0')
tensor(0.9321, device='cuda:0'),tensor(0.1488, device='cuda:0')
tensor(0.8216, device='cuda:0'),tensor(0.2304, device='cuda:0')
tensor(0.8381, device='cuda:0'),tensor(0.4540, device='cuda:0')
tensor(0.6294, device='cuda:0'),tensor(0.3172, device='cuda:0')
tensor(0.3599, device='cuda:0'),tensor(0.4628, device='cuda:0')
tensor(0.9115, device='cuda:0'),tensor(0.2872, device='cuda:0')
tensor(0.7414, device='cuda:0'),tensor(0.2742, device='cuda:0')
tensor(0.7806, device='cuda:0'),tensor(0.2979, device='cuda:0')
tensor(0.8662, device='cuda:0'),tensor(0.4140, device='cuda:0')
tensor(0.8718, device='cuda:0'),tensor(0.3069, device='cuda:0')
tensor(0.8235, device='cuda:0'),tensor(0.3921, device='cuda:0')
tensor(0.8152, device='cuda:0'),tensor(0.2424, device='cuda:0')
tensor(0.7738, device='cuda:0'),tensor(0.2150, device='cuda:0')
tensor(0.8569, device='cuda:0'),tensor(0.2948, device='cuda:0')
tensor(0.8454, device='cuda:0'),tensor(0.3129, device='cuda:0')
tensor(0.8616, device='cuda:0'),tensor(0.2983, device='cuda:0')
tensor(0.9242, device='cuda:0'),tensor(0.2456, device='cuda:0')
tensor(0.4408, device='cuda:0'),tensor(0.3186, device='cuda:0')
tensor(0.6898, device='cuda:0'),tensor(0.2913, device='cuda:0')
tensor(0.4670, device='cuda:0'),tensor(0.3123, device='cuda:0')
tensor(0.4401, device='cuda:0'),tensor(0.2964, device='cuda:0')
tensor(0.4521, device='cuda:0'),tensor(0.5814, device='cuda:0')
tensor(0.9120, device='cuda:0'),tensor(0.3269, device='cuda:0')
tensor(0.7843, device='cuda:0'),tensor(0.3618, device='cuda:0')
tensor(0.5880, device='cuda:0'),tensor(0.1937, device='cuda:0')
tensor(0.9013, device='cuda:0'),tensor(0.2324, device='cuda:0')
tensor(0.8812, device='cuda:0'),tensor(0.2302, device='cuda:0')
tensor(0.9261, device='cuda:0'),tensor(0.1760, device='cuda:0')
tensor(0.9187, device='cuda:0'),tensor(0.1930, device='cuda:0')
tensor(0.8479, device='cuda:0'),tensor(0.1977, device='cuda:0')
tensor(0.8457, device='cuda:0'),tensor(0.2734, device='cuda:0')
tensor(0.9498, device='cuda:0'),tensor(0.2778, device='cuda:0')
tensor(0.9564, device='cuda:0'),tensor(0.1317, device='cuda:0')
tensor(0.9460, device='cuda:0'),tensor(0.2735, device='cuda:0')
tensor(0.9346, device='cuda:0'),tensor(0.2739, device='cuda:0')
tensor(0.8272, device='cuda:0'),tensor(0.3277, device='cuda:0')
tensor(0.8693, device='cuda:0'),tensor(0.4276, device='cuda:0')
tensor(0.8829, device='cuda:0'),tensor(0.3794, device='cuda:0')
tensor(0.8723, device='cuda:0'),tensor(0.3513, device='cuda:0')
tensor(0.8178, device='cuda:0'),tensor(0.3918, device='cuda:0')
tensor(0.8784, device='cuda:0'),tensor(0.4246, device='cuda:0')
tensor(0.8533, device='cuda:0'),tensor(0.4229, device='cuda:0')
tensor(0.7685, device='cuda:0'),tensor(0.4422, device='cuda:0')
tensor(0.8011, device='cuda:0'),tensor(0.2929, device='cuda:0')
tensor(0.8696, device='cuda:0'),tensor(0.3147, device='cuda:0')
tensor(0.8090, device='cuda:0'),tensor(0.4871, device='cuda:0')
tensor(0.7416, device='cuda:0'),tensor(0.4504, device='cuda:0')
tensor(0.7245, device='cuda:0'),tensor(0.3687, device='cuda:0')
tensor(0.7782, device='cuda:0'),tensor(0.2982, device='cuda:0')
tensor(0.8400, device='cuda:0'),tensor(0.2982, device='cuda:0')
tensor(0.7854, device='cuda:0'),tensor(0.2637, device='cuda:0')
tensor(0.8365, device='cuda:0'),tensor(0.2803, device='cuda:0')
tensor(0.8155, device='cuda:0'),tensor(0.3086, device='cuda:0')
tensor(0.8834, device='cuda:0'),tensor(0.3008, device='cuda:0')
tensor(0.8913, device='cuda:0'),tensor(0.2279, device='cuda:0')
tensor(0.8165, device='cuda:0'),tensor(0.3299, device='cuda:0')
tensor(0.9414, device='cuda:0'),tensor(0.2351, device='cuda:0')
tensor(0.9333, device='cuda:0'),tensor(0.2001, device='cuda:0')
tensor(0.9181, device='cuda:0'),tensor(0.2333, device='cuda:0')
tensor(0.9324, device='cuda:0'),tensor(0.2537, device='cuda:0')
tensor(0.9465, device='cuda:0'),tensor(0.2291, device='cuda:0')
tensor(0.9203, device='cuda:0'),tensor(0.2246, device='cuda:0')
tensor(0.9196, device='cuda:0'),tensor(0.2014, device='cuda:0')
tensor(0.8206, device='cuda:0'),tensor(0.2856, device='cuda:0')
tensor(0.6984, device='cuda:0'),tensor(0.3449, device='cuda:0')
tensor(0.8529, device='cuda:0'),tensor(0.2751, device='cuda:0')
tensor(0.8625, device='cuda:0'),tensor(0.3498, device='cuda:0')
tensor(0.8439, device='cuda:0'),tensor(0.2799, device='cuda:0')
tensor(0.8231, device='cuda:0'),tensor(0.3437, device='cuda:0')
tensor(0.8586, device='cuda:0'),tensor(0.3082, device='cuda:0')
tensor(0.9008, device='cuda:0'),tensor(0.2364, device='cuda:0')
tensor(0.9383, device='cuda:0'),tensor(0.1883, device='cuda:0')
tensor(0.9446, device='cuda:0'),tensor(0.2403, device='cuda:0')
tensor(0.9326, device='cuda:0'),tensor(0.2039, device='cuda:0')
tensor(0.8893, device='cuda:0'),tensor(0.3031, device='cuda:0')
tensor(0.9208, device='cuda:0'),tensor(0.2301, device='cuda:0')
tensor(0.9236, device='cuda:0'),tensor(0.1852, device='cuda:0')
tensor(0.9020, device='cuda:0'),tensor(0.2421, device='cuda:0')
tensor(0.7976, device='cuda:0'),tensor(0.3770, device='cuda:0')
tensor(0.9005, device='cuda:0'),tensor(0.2262, device='cuda:0')
tensor(0.9147, device='cuda:0'),tensor(0.2980, device='cuda:0')
tensor(0.6179, device='cuda:0'),tensor(0.3235, device='cuda:0')
tensor(0.9102, device='cuda:0'),tensor(0.2520, device='cuda:0')
tensor(0.9242, device='cuda:0'),tensor(0.2607, device='cuda:0')
tensor(0.8473, device='cuda:0'),tensor(0.2522, device='cuda:0')
tensor(0.9269, device='cuda:0'),tensor(0.2269, device='cuda:0')
tensor(0.9537, device='cuda:0'),tensor(0.1377, device='cuda:0')
tensor(0.7835, device='cuda:0'),tensor(0.2309, device='cuda:0')
tensor(0.9108, device='cuda:0'),tensor(0.2729, device='cuda:0')
tensor(0.9342, device='cuda:0'),tensor(0.2740, device='cuda:0')
tensor(0.9131, device='cuda:0'),tensor(0.2243, device='cuda:0')
tensor(0.9312, device='cuda:0'),tensor(0.2087, device='cuda:0')
tensor(0.8419, device='cuda:0'),tensor(0.3007, device='cuda:0')
tensor(0.8914, device='cuda:0'),tensor(0.2765, device='cuda:0')
tensor(0.8670, device='cuda:0'),tensor(0.3385, device='cuda:0')
tensor(0.9232, device='cuda:0'),tensor(0.3318, device='cuda:0')
tensor(0.6352, device='cuda:0'),tensor(0.4083, device='cuda:0')
tensor(0.9060, device='cuda:0'),tensor(0.1827, device='cuda:0')
tensor(0.8897, device='cuda:0'),tensor(0.2114, device='cuda:0')
tensor(0.9180, device='cuda:0'),tensor(0.1897, device='cuda:0')
tensor(0.9251, device='cuda:0'),tensor(0.2034, device='cuda:0')
tensor(0.9041, device='cuda:0'),tensor(0.2464, device='cuda:0')
tensor(0.9088, device='cuda:0'),tensor(0.2761, device='cuda:0')
tensor(0.9213, device='cuda:0'),tensor(0.1789, device='cuda:0')
tensor(0.9172, device='cuda:0'),tensor(0.2449, device='cuda:0')
tensor(0.9654, device='cuda:0'),tensor(0.2120, device='cuda:0')
tensor(0.9615, device='cuda:0'),tensor(0.1808, device='cuda:0')
tensor(0.9667, device='cuda:0'),tensor(0.1943, device='cuda:0')
tensor(0.9447, device='cuda:0'),tensor(0.2250, device='cuda:0')
tensor(0.8244, device='cuda:0'),tensor(0.2900, device='cuda:0')
tensor(0.9122, device='cuda:0'),tensor(0.2613, device='cuda:0')
tensor(0.9260, device='cuda:0'),tensor(0.2953, device='cuda:0')
tensor(0.9552, device='cuda:0'),tensor(0.2299, device='cuda:0')
tensor(0.9277, device='cuda:0'),tensor(0.2318, device='cuda:0')
tensor(0.7955, device='cuda:0'),tensor(0.3176, device='cuda:0')
tensor(0.9351, device='cuda:0'),tensor(0.2732, device='cuda:0')
tensor(0.9122, device='cuda:0'),tensor(0.3698, device='cuda:0')
tensor(0.8875, device='cuda:0'),tensor(0.4396, device='cuda:0')
tensor(0.8602, device='cuda:0'),tensor(0.2896, device='cuda:0')
tensor(0.8635, device='cuda:0'),tensor(0.2661, device='cuda:0')
tensor(0.9266, device='cuda:0'),tensor(0.2791, device='cuda:0')
tensor(0.9322, device='cuda:0'),tensor(0.2655, device='cuda:0')
tensor(0.9624, device='cuda:0'),tensor(0.1707, device='cuda:0')
tensor(0.9313, device='cuda:0'),tensor(0.2553, device='cuda:0')
tensor(0.9162, device='cuda:0'),tensor(0.2526, device='cuda:0')
tensor(0.9393, device='cuda:0'),tensor(0.2225, device='cuda:0')
tensor(0.9149, device='cuda:0'),tensor(0.3062, device='cuda:0')
tensor(0.9025, device='cuda:0'),tensor(0.2759, device='cuda:0')
tensor(0.8815, device='cuda:0'),tensor(0.2684, device='cuda:0')
tensor(0.8788, device='cuda:0'),tensor(0.2945, device='cuda:0')
tensor(0.9264, device='cuda:0'),tensor(0.1330, device='cuda:0')
tensor(0.9314, device='cuda:0'),tensor(0.1260, device='cuda:0')
tensor(0.9040, device='cuda:0'),tensor(0.1807, device='cuda:0')
tensor(0.8499, device='cuda:0'),tensor(0.1918, device='cuda:0')
tensor(0.9070, device='cuda:0'),tensor(0.1739, device='cuda:0')
tensor(0.8308, device='cuda:0'),tensor(0.2542, device='cuda:0')
tensor(0.8982, device='cuda:0'),tensor(0.2118, device='cuda:0')
tensor(0.9169, device='cuda:0'),tensor(0.2143, device='cuda:0')
tensor(0.8826, device='cuda:0'),tensor(0.2237, device='cuda:0')
tensor(0.9131, device='cuda:0'),tensor(0.2604, device='cuda:0')
tensor(0.9240, device='cuda:0'),tensor(0.2413, device='cuda:0')
tensor(0.9656, device='cuda:0'),tensor(0.1784, device='cuda:0')
tensor(0.9413, device='cuda:0'),tensor(0.1738, device='cuda:0')
tensor(0.9046, device='cuda:0'),tensor(0.2808, device='cuda:0')
tensor(0.8418, device='cuda:0'),tensor(0.2889, device='cuda:0')
tensor(0.6685, device='cuda:0'),tensor(0.3791, device='cuda:0')
tensor(0.9260, device='cuda:0'),tensor(0.2207, device='cuda:0')
tensor(0.7362, device='cuda:0'),tensor(0.3725, device='cuda:0')
tensor(0.3258, device='cuda:0'),tensor(0.4587, device='cuda:0')
tensor(0.3293, device='cuda:0'),tensor(0.4450, device='cuda:0')
tensor(0.3293, device='cuda:0'),tensor(0.4450, device='cuda:0')
tensor(0.7592, device='cuda:0'),tensor(0.3870, device='cuda:0')
