tensor([[1.0809]], device='cuda:0'),tensor(0.5310, device='cuda:0')
tensor([[2.1381]], device='cuda:0'),tensor(0.7477, device='cuda:0')
tensor([[2.8948]], device='cuda:0'),tensor(0.6174, device='cuda:0')
tensor([[2.0573]], device='cuda:0'),tensor(0.6848, device='cuda:0')
tensor([[1.9445]], device='cuda:0'),tensor(0.6369, device='cuda:0')
tensor([[1.1750]], device='cuda:0'),tensor(0.4457, device='cuda:0')
tensor([[0.9129]], device='cuda:0'),tensor(0.1590, device='cuda:0')
tensor([[2.3290]], device='cuda:0'),tensor(0.4660, device='cuda:0')
tensor([[2.2380]], device='cuda:0'),tensor(0.6932, device='cuda:0')
tensor([[0.3828]], device='cuda:0'),tensor(0.3728, device='cuda:0')
tensor([[1.0055]], device='cuda:0'),tensor(0.3750, device='cuda:0')
tensor([[0.7890]], device='cuda:0'),tensor(0.2955, device='cuda:0')
tensor([[0.9317]], device='cuda:0'),tensor(0.3159, device='cuda:0')
tensor([[1.4791]], device='cuda:0'),tensor(0.4423, device='cuda:0')
tensor([[1.4461]], device='cuda:0'),tensor(0.3904, device='cuda:0')
tensor([[0.4657]], device='cuda:0'),tensor(0.4508, device='cuda:0')
tensor([[1.5540]], device='cuda:0'),tensor(0.8129, device='cuda:0')
tensor([[2.1430]], device='cuda:0'),tensor(0.7789, device='cuda:0')
tensor([[1.8801]], device='cuda:0'),tensor(0.8716, device='cuda:0')
tensor([[1.5315]], device='cuda:0'),tensor(0.7450, device='cuda:0')
tensor([[0.9649]], device='cuda:0'),tensor(0.2568, device='cuda:0')
tensor([[2.1754]], device='cuda:0'),tensor(0.7137, device='cuda:0')
tensor([[0.8811]], device='cuda:0'),tensor(0.2409, device='cuda:0')
tensor([[1.4950]], device='cuda:0'),tensor(0.7962, device='cuda:0')
tensor([[0.7669]], device='cuda:0'),tensor(0.3688, device='cuda:0')
tensor([[0.9925]], device='cuda:0'),tensor(0.3427, device='cuda:0')
tensor([[2.2380]], device='cuda:0'),tensor(0.6932, device='cuda:0')
tensor([[0.8025]], device='cuda:0'),tensor(0.4844, device='cuda:0')
tensor([[1.3227]], device='cuda:0'),tensor(0.7323, device='cuda:0')
tensor([[1.7806]], device='cuda:0'),tensor(0.2877, device='cuda:0')
tensor([[1.5628]], device='cuda:0'),tensor(0.8830, device='cuda:0')
tensor([[1.9554]], device='cuda:0'),tensor(0.6108, device='cuda:0')
tensor([[1.5771]], device='cuda:0'),tensor(0.4338, device='cuda:0')
tensor([[1.8693]], device='cuda:0'),tensor(0.7010, device='cuda:0')
tensor([[0.8791]], device='cuda:0'),tensor(0.5038, device='cuda:0')
tensor([[1.9677]], device='cuda:0'),tensor(0.7972, device='cuda:0')
tensor([[1.4950]], device='cuda:0'),tensor(0.7962, device='cuda:0')
tensor([[0.3873]], device='cuda:0'),tensor(0.0868, device='cuda:0')
tensor([[1.5519]], device='cuda:0'),tensor(0.6335, device='cuda:0')
tensor([[2.5777]], device='cuda:0'),tensor(0.8809, device='cuda:0')
tensor([[1.1770]], device='cuda:0'),tensor(0.2875, device='cuda:0')
tensor([[1.5126]], device='cuda:0'),tensor(0.6219, device='cuda:0')
tensor([[1.4101]], device='cuda:0'),tensor(0.3658, device='cuda:0')
tensor([[2.0002]], device='cuda:0'),tensor(0.7362, device='cuda:0')
tensor([[0.9820]], device='cuda:0'),tensor(0.4245, device='cuda:0')
tensor([[1.5691]], device='cuda:0'),tensor(0.5175, device='cuda:0')
tensor([[2.0354]], device='cuda:0'),tensor(0.6379, device='cuda:0')
tensor([[1.4612]], device='cuda:0'),tensor(0.5797, device='cuda:0')
tensor([[1.4191]], device='cuda:0'),tensor(0.5279, device='cuda:0')
tensor([[1.5562]], device='cuda:0'),tensor(0.8290, device='cuda:0')
tensor([[1.8693]], device='cuda:0'),tensor(0.7010, device='cuda:0')
tensor([[2.7333]], device='cuda:0'),tensor(0.5533, device='cuda:0')
tensor([[0.6742]], device='cuda:0'),tensor(0.3615, device='cuda:0')
tensor([[1.7487]], device='cuda:0'),tensor(0.7949, device='cuda:0')
tensor([[1.3301]], device='cuda:0'),tensor(0.4107, device='cuda:0')
tensor([[1.9554]], device='cuda:0'),tensor(0.6108, device='cuda:0')
tensor([[1.6128]], device='cuda:0'),tensor(0.6490, device='cuda:0')
tensor([[0.7669]], device='cuda:0'),tensor(0.3688, device='cuda:0')
tensor([[1.1774]], device='cuda:0'),tensor(0.5512, device='cuda:0')
tensor([[1.4465]], device='cuda:0'),tensor(0.2495, device='cuda:0')
tensor([[1.9881]], device='cuda:0'),tensor(0.6769, device='cuda:0')
tensor([[1.7479]], device='cuda:0'),tensor(0.5750, device='cuda:0')
tensor([[1.5798]], device='cuda:0'),tensor(0.7530, device='cuda:0')
tensor([[1.6700]], device='cuda:0'),tensor(0.4030, device='cuda:0')
tensor([[2.1771]], device='cuda:0'),tensor(0.8032, device='cuda:0')
tensor([[0.1415]], device='cuda:0'),tensor(0.3920, device='cuda:0')
tensor([[2.0929]], device='cuda:0'),tensor(0.7418, device='cuda:0')
tensor([[1.3021]], device='cuda:0'),tensor(0.5965, device='cuda:0')
tensor([[1.5519]], device='cuda:0'),tensor(0.6335, device='cuda:0')
tensor([[1.5562]], device='cuda:0'),tensor(0.8290, device='cuda:0')
tensor([[-0.2269]], device='cuda:0'),tensor(0.3611, device='cuda:0')
tensor([[2.1381]], device='cuda:0'),tensor(0.7477, device='cuda:0')
tensor([[2.0332]], device='cuda:0'),tensor(0.5041, device='cuda:0')
tensor([[2.1262]], device='cuda:0'),tensor(0.6593, device='cuda:0')
tensor([[1.0065]], device='cuda:0'),tensor(0.2955, device='cuda:0')
tensor([[0.9251]], device='cuda:0'),tensor(0.2555, device='cuda:0')
tensor([[1.5519]], device='cuda:0'),tensor(0.6335, device='cuda:0')
tensor([[0.9431]], device='cuda:0'),tensor(0.2608, device='cuda:0')
tensor([[1.9963]], device='cuda:0'),tensor(0.8410, device='cuda:0')
tensor([[1.0055]], device='cuda:0'),tensor(0.3750, device='cuda:0')
tensor([[2.2146]], device='cuda:0'),tensor(0.7680, device='cuda:0')
tensor([[0.8896]], device='cuda:0'),tensor(0.3769, device='cuda:0')
tensor([[1.1794]], device='cuda:0'),tensor(0.4724, device='cuda:0')
tensor([[1.3398]], device='cuda:0'),tensor(0.6934, device='cuda:0')
tensor([[0.6002]], device='cuda:0'),tensor(0.5450, device='cuda:0')
tensor([[2.2380]], device='cuda:0'),tensor(0.6932, device='cuda:0')
tensor([[1.5562]], device='cuda:0'),tensor(0.8290, device='cuda:0')
tensor([[1.5519]], device='cuda:0'),tensor(0.6335, device='cuda:0')
tensor([[1.2091]], device='cuda:0'),tensor(0.3577, device='cuda:0')
