tensor(0.1556, device='cuda:0'),tensor(0.6173, device='cuda:0')
tensor(0.7701, device='cuda:0'),tensor(0.3920, device='cuda:0')
tensor(0.3344, device='cuda:0'),tensor(0.4370, device='cuda:0')
tensor(0.8999, device='cuda:0'),tensor(0.3335, device='cuda:0')
tensor(0.3746, device='cuda:0'),tensor(0.6490, device='cuda:0')
tensor(0.0920, device='cuda:0'),tensor(0.8410, device='cuda:0')
tensor(0.9672, device='cuda:0'),tensor(0.2913, device='cuda:0')
tensor(0.1556, device='cuda:0'),tensor(0.6173, device='cuda:0')
tensor(0.9661, device='cuda:0'),tensor(0.2409, device='cuda:0')
tensor(0.2056, device='cuda:0'),tensor(0.7477, device='cuda:0')
tensor(0.1556, device='cuda:0'),tensor(0.5683, device='cuda:0')
tensor(0.3777, device='cuda:0'),tensor(0.5175, device='cuda:0')
tensor(0.0575, device='cuda:0'),tensor(0.8805, device='cuda:0')
tensor(0.9731, device='cuda:0'),tensor(0.0774, device='cuda:0')
tensor(0.1075, device='cuda:0'),tensor(0.7450, device='cuda:0')
tensor(0.8999, device='cuda:0'),tensor(0.3335, device='cuda:0')
tensor(0.9740, device='cuda:0'),tensor(0.2224, device='cuda:0')
tensor(0.5018, device='cuda:0'),tensor(0.3839, device='cuda:0')
tensor(0.8581, device='cuda:0'),tensor(0.5170, device='cuda:0')
tensor(0.7699, device='cuda:0'),tensor(0.3688, device='cuda:0')
tensor(0.6266, device='cuda:0'),tensor(0.5709, device='cuda:0')
tensor(0.5898, device='cuda:0'),tensor(0.7195, device='cuda:0')
tensor(0.8156, device='cuda:0'),tensor(0.5077, device='cuda:0')
tensor(0.7955, device='cuda:0'),tensor(0.5247, device='cuda:0')
tensor(0.7737, device='cuda:0'),tensor(0.3889, device='cuda:0')
tensor(0.9543, device='cuda:0'),tensor(0.3750, device='cuda:0')
tensor(0.6762, device='cuda:0'),tensor(0.2960, device='cuda:0')
tensor(0.7559, device='cuda:0'),tensor(0.4201, device='cuda:0')
tensor(0.1660, device='cuda:0'),tensor(0.8809, device='cuda:0')
tensor(0.8012, device='cuda:0'),tensor(0.6489, device='cuda:0')
tensor(0.9152, device='cuda:0'),tensor(0.2495, device='cuda:0')
tensor(0.5025, device='cuda:0'),tensor(0.8073, device='cuda:0')
tensor(0.8368, device='cuda:0'),tensor(0.2347, device='cuda:0')
tensor(0.8165, device='cuda:0'),tensor(0.3671, device='cuda:0')
tensor(0.2907, device='cuda:0'),tensor(0.5435, device='cuda:0')
tensor(0.0920, device='cuda:0'),tensor(0.8410, device='cuda:0')
tensor(0.2907, device='cuda:0'),tensor(0.5435, device='cuda:0')
tensor(0.1213, device='cuda:0'),tensor(0.6649, device='cuda:0')
tensor(0.8528, device='cuda:0'),tensor(0.2489, device='cuda:0')
tensor(0.3929, device='cuda:0'),tensor(0.4562, device='cuda:0')
tensor(0.1539, device='cuda:0'),tensor(0.7173, device='cuda:0')
tensor(0.0747, device='cuda:0'),tensor(0.7723, device='cuda:0')
tensor(0.0730, device='cuda:0'),tensor(0.7910, device='cuda:0')
tensor(0.6144, device='cuda:0'),tensor(0.5456, device='cuda:0')
tensor(0.4530, device='cuda:0'),tensor(0.5731, device='cuda:0')
tensor(0.8945, device='cuda:0'),tensor(0.1142, device='cuda:0')
tensor(0.9342, device='cuda:0'),tensor(0.2759, device='cuda:0')
tensor(0.7884, device='cuda:0'),tensor(0.3615, device='cuda:0')
tensor(0.0844, device='cuda:0'),tensor(0.7847, device='cuda:0')
tensor(0.6430, device='cuda:0'),tensor(0.5797, device='cuda:0')
tensor(0.9185, device='cuda:0'),tensor(0.2007, device='cuda:0')
tensor(0.3289, device='cuda:0'),tensor(0.3575, device='cuda:0')
tensor(0.7121, device='cuda:0'),tensor(0.4798, device='cuda:0')
tensor(0.9624, device='cuda:0'),tensor(0.1528, device='cuda:0')
tensor(0.5592, device='cuda:0'),tensor(0.5885, device='cuda:0')
tensor(0.8292, device='cuda:0'),tensor(0.4724, device='cuda:0')
tensor(0.8550, device='cuda:0'),tensor(0.3618, device='cuda:0')
tensor(0.0920, device='cuda:0'),tensor(0.8410, device='cuda:0')
tensor(0.0854, device='cuda:0'),tensor(0.7714, device='cuda:0')
tensor(0.0987, device='cuda:0'),tensor(0.7053, device='cuda:0')
tensor(0.9683, device='cuda:0'),tensor(0.1819, device='cuda:0')
tensor(0.9620, device='cuda:0'),tensor(0.2941, device='cuda:0')
tensor(0.8999, device='cuda:0'),tensor(0.3335, device='cuda:0')
tensor(0.7064, device='cuda:0'),tensor(0.3334, device='cuda:0')
tensor(0.7687, device='cuda:0'),tensor(0.4077, device='cuda:0')
tensor(0.8690, device='cuda:0'),tensor(0.3614, device='cuda:0')
tensor(0.0661, device='cuda:0'),tensor(0.7653, device='cuda:0')
tensor(0.8303, device='cuda:0'),tensor(0.6461, device='cuda:0')
tensor(0.7494, device='cuda:0'),tensor(0.2227, device='cuda:0')
tensor(0.3721, device='cuda:0'),tensor(0.5307, device='cuda:0')
tensor(0.3860, device='cuda:0'),tensor(0.5965, device='cuda:0')
tensor(0.0661, device='cuda:0'),tensor(0.7653, device='cuda:0')
tensor(0.6761, device='cuda:0'),tensor(0.5050, device='cuda:0')
tensor(0.6144, device='cuda:0'),tensor(0.5456, device='cuda:0')
tensor(0.8303, device='cuda:0'),tensor(0.6461, device='cuda:0')
tensor(0.0940, device='cuda:0'),tensor(0.8396, device='cuda:0')
tensor(0.1103, device='cuda:0'),tensor(0.3999, device='cuda:0')
tensor(0.9269, device='cuda:0'),tensor(0.0946, device='cuda:0')
tensor(0.1651, device='cuda:0'),tensor(0.6085, device='cuda:0')
tensor(0.1103, device='cuda:0'),tensor(0.3999, device='cuda:0')
tensor(0.9582, device='cuda:0'),tensor(0.2525, device='cuda:0')
tensor(0.1867, device='cuda:0'),tensor(0.7044, device='cuda:0')
tensor(0.1638, device='cuda:0'),tensor(0.7418, device='cuda:0')
tensor(0.4245, device='cuda:0'),tensor(0.4897, device='cuda:0')
tensor(0.5026, device='cuda:0'),tensor(0.5534, device='cuda:0')
tensor(0.1556, device='cuda:0'),tensor(0.5683, device='cuda:0')
tensor(0.8493, device='cuda:0'),tensor(0.1998, device='cuda:0')
tensor(0.5079, device='cuda:0'),tensor(0.3289, device='cuda:0')
tensor(0.0679, device='cuda:0'),tensor(0.8830, device='cuda:0')
tensor(0.2382, device='cuda:0'),tensor(0.5208, device='cuda:0')
tensor(0.9734, device='cuda:0'),tensor(0.2300, device='cuda:0')
tensor(0.8912, device='cuda:0'),tensor(0.2304, device='cuda:0')
tensor(0.1116, device='cuda:0'),tensor(0.8110, device='cuda:0')
tensor(0.4274, device='cuda:0'),tensor(0.5426, device='cuda:0')
tensor(0.8989, device='cuda:0'),tensor(0.2750, device='cuda:0')
tensor(0.4245, device='cuda:0'),tensor(0.4897, device='cuda:0')
tensor(0.3616, device='cuda:0'),tensor(0.6786, device='cuda:0')
tensor(0.9546, device='cuda:0'),tensor(0.1161, device='cuda:0')
tensor(0.6230, device='cuda:0'),tensor(0.3334, device='cuda:0')
tensor(0.7261, device='cuda:0'),tensor(0.2790, device='cuda:0')
tensor(0.2751, device='cuda:0'),tensor(0.6476, device='cuda:0')
tensor(0.2693, device='cuda:0'),tensor(0.5582, device='cuda:0')
tensor(0.9734, device='cuda:0'),tensor(0.2300, device='cuda:0')
tensor(0.2751, device='cuda:0'),tensor(0.6476, device='cuda:0')
tensor(0.1674, device='cuda:0'),tensor(0.5683, device='cuda:0')
tensor(0.1075, device='cuda:0'),tensor(0.7450, device='cuda:0')
tensor(0.9584, device='cuda:0'),tensor(0.1709, device='cuda:0')
tensor(0.1638, device='cuda:0'),tensor(0.7418, device='cuda:0')
tensor(0.4248, device='cuda:0'),tensor(0.4518, device='cuda:0')
tensor(0.9442, device='cuda:0'),tensor(0.2108, device='cuda:0')
tensor(0.4360, device='cuda:0'),tensor(0.4830, device='cuda:0')
tensor(0.1103, device='cuda:0'),tensor(0.3999, device='cuda:0')
tensor(0.9718, device='cuda:0'),tensor(0.2399, device='cuda:0')
tensor(0.8376, device='cuda:0'),tensor(0.4124, device='cuda:0')
tensor(0.0844, device='cuda:0'),tensor(0.7847, device='cuda:0')
tensor(0.9693, device='cuda:0'),tensor(0.1232, device='cuda:0')
tensor(0.1513, device='cuda:0'),tensor(0.6932, device='cuda:0')
tensor(0.4245, device='cuda:0'),tensor(0.4897, device='cuda:0')
tensor(0.1539, device='cuda:0'),tensor(0.7173, device='cuda:0')
tensor(0.8999, device='cuda:0'),tensor(0.3335, device='cuda:0')
tensor(0.1275, device='cuda:0'),tensor(0.5550, device='cuda:0')
tensor(0.7206, device='cuda:0'),tensor(0.5995, device='cuda:0')
tensor(0.8999, device='cuda:0'),tensor(0.3335, device='cuda:0')
tensor(0.4950, device='cuda:0'),tensor(0.5893, device='cuda:0')
tensor(0.9543, device='cuda:0'),tensor(0.3750, device='cuda:0')
tensor(0.1654, device='cuda:0'),tensor(0.7680, device='cuda:0')
tensor(0.1029, device='cuda:0'),tensor(0.7350, device='cuda:0')
tensor(0.8968, device='cuda:0'),tensor(0.3244, device='cuda:0')
tensor(0.2609, device='cuda:0'),tensor(0.4608, device='cuda:0')
tensor(0.1061, device='cuda:0'),tensor(0.7137, device='cuda:0')
tensor(0.8583, device='cuda:0'),tensor(0.3323, device='cuda:0')
tensor(0.4252, device='cuda:0'),tensor(0.6202, device='cuda:0')
tensor(0.3280, device='cuda:0'),tensor(0.5074, device='cuda:0')
tensor(0.9509, device='cuda:0'),tensor(0.3740, device='cuda:0')
tensor(0.2056, device='cuda:0'),tensor(0.7477, device='cuda:0')
tensor(0.8999, device='cuda:0'),tensor(0.3335, device='cuda:0')
tensor(0.2214, device='cuda:0'),tensor(0.5784, device='cuda:0')
tensor(0.6968, device='cuda:0'),tensor(0.5911, device='cuda:0')
tensor(0.3261, device='cuda:0'),tensor(0.6467, device='cuda:0')
tensor(0.7488, device='cuda:0'),tensor(0.5747, device='cuda:0')
tensor(0.0940, device='cuda:0'),tensor(0.8396, device='cuda:0')
tensor(0.1598, device='cuda:0'),tensor(0.6227, device='cuda:0')
tensor(0.1700, device='cuda:0'),tensor(0.5750, device='cuda:0')
tensor(0.2117, device='cuda:0'),tensor(0.2485, device='cuda:0')
tensor(0.9336, device='cuda:0'),tensor(0.1902, device='cuda:0')
tensor(0.4193, device='cuda:0'),tensor(0.4845, device='cuda:0')
tensor(0.9178, device='cuda:0'),tensor(0.3464, device='cuda:0')
tensor(0.7805, device='cuda:0'),tensor(0.3239, device='cuda:0')
tensor(0.1590, device='cuda:0'),tensor(0.6797, device='cuda:0')
tensor(0.9313, device='cuda:0'),tensor(0.1665, device='cuda:0')
tensor(0.8367, device='cuda:0'),tensor(0.3597, device='cuda:0')
tensor(0.1275, device='cuda:0'),tensor(0.6275, device='cuda:0')
tensor(0.1597, device='cuda:0'),tensor(0.5639, device='cuda:0')
tensor(0.9153, device='cuda:0'),tensor(0.2393, device='cuda:0')
tensor(0.0940, device='cuda:0'),tensor(0.8396, device='cuda:0')
tensor(0.1075, device='cuda:0'),tensor(0.7450, device='cuda:0')
tensor(0.1116, device='cuda:0'),tensor(0.8110, device='cuda:0')
tensor(0.2670, device='cuda:0'),tensor(0.7388, device='cuda:0')
tensor(0.8292, device='cuda:0'),tensor(0.4724, device='cuda:0')
tensor(0.2507, device='cuda:0'),tensor(0.2604, device='cuda:0')
tensor(0.1032, device='cuda:0'),tensor(0.8327, device='cuda:0')
tensor(0.6761, device='cuda:0'),tensor(0.5050, device='cuda:0')
tensor(0.1261, device='cuda:0'),tensor(0.6848, device='cuda:0')
tensor(0.2146, device='cuda:0'),tensor(0.4187, device='cuda:0')
tensor(0.9700, device='cuda:0'),tensor(0.1330, device='cuda:0')
tensor(0.2952, device='cuda:0'),tensor(0.4806, device='cuda:0')
tensor(0.1063, device='cuda:0'),tensor(0.6633, device='cuda:0')
tensor(0.9734, device='cuda:0'),tensor(0.2300, device='cuda:0')
tensor(0.8968, device='cuda:0'),tensor(0.3244, device='cuda:0')
tensor(0.9768, device='cuda:0'),tensor(0.0973, device='cuda:0')
tensor(0.6761, device='cuda:0'),tensor(0.5050, device='cuda:0')
tensor(0.9338, device='cuda:0'),tensor(0.4216, device='cuda:0')
tensor(0.1590, device='cuda:0'),tensor(0.6797, device='cuda:0')
tensor(0.9152, device='cuda:0'),tensor(0.2495, device='cuda:0')
tensor(0.2056, device='cuda:0'),tensor(0.7477, device='cuda:0')
tensor(0.8999, device='cuda:0'),tensor(0.3335, device='cuda:0')
tensor(0.9471, device='cuda:0'),tensor(0.1830, device='cuda:0')
tensor(0.6433, device='cuda:0'),tensor(0.5462, device='cuda:0')
tensor(0.2415, device='cuda:0'),tensor(0.2822, device='cuda:0')
tensor(0.2751, device='cuda:0'),tensor(0.6476, device='cuda:0')
tensor(0.9299, device='cuda:0'),tensor(0.2290, device='cuda:0')
tensor(0.1884, device='cuda:0'),tensor(0.5038, device='cuda:0')
tensor(0.9800, device='cuda:0'),tensor(0.1855, device='cuda:0')
tensor(0.8775, device='cuda:0'),tensor(0.4404, device='cuda:0')
tensor(0.6464, device='cuda:0'),tensor(0.5037, device='cuda:0')
tensor(0.0878, device='cuda:0'),tensor(0.7953, device='cuda:0')
tensor(0.9111, device='cuda:0'),tensor(0.2938, device='cuda:0')
tensor(0.1736, device='cuda:0'),tensor(0.6354, device='cuda:0')
tensor(0.5018, device='cuda:0'),tensor(0.3839, device='cuda:0')
tensor(0.0908, device='cuda:0'),tensor(0.8690, device='cuda:0')
tensor(0.2415, device='cuda:0'),tensor(0.2822, device='cuda:0')
tensor(0.7935, device='cuda:0'),tensor(0.4620, device='cuda:0')
tensor(0.9152, device='cuda:0'),tensor(0.2495, device='cuda:0')
tensor(0.9214, device='cuda:0'),tensor(0.2874, device='cuda:0')
tensor(0.1570, device='cuda:0'),tensor(0.6018, device='cuda:0')
tensor(0.8775, device='cuda:0'),tensor(0.4404, device='cuda:0')
tensor(0.9157, device='cuda:0'),tensor(0.4675, device='cuda:0')
tensor(0.1061, device='cuda:0'),tensor(0.7137, device='cuda:0')
tensor(0.0908, device='cuda:0'),tensor(0.8690, device='cuda:0')
tensor(0.6765, device='cuda:0'),tensor(0.3126, device='cuda:0')
tensor(0.1439, device='cuda:0'),tensor(0.8483, device='cuda:0')
tensor(0.6796, device='cuda:0'),tensor(0.4844, device='cuda:0')
tensor(0.6266, device='cuda:0'),tensor(0.5709, device='cuda:0')
tensor(0.3382, device='cuda:0'),tensor(0.5621, device='cuda:0')
