tensor([[2.2380]], device='cuda:0'),tensor(0.1513, device='cuda:0'),tensor(0.6932, device='cuda:0')
tensor([[0.6317]], device='cuda:0'),tensor(0.9185, device='cuda:0'),tensor(0.2007, device='cuda:0')
tensor([[3.0604]], device='cuda:0'),tensor(0.1888, device='cuda:0'),tensor(0.8139, device='cuda:0')
tensor([[1.0277]], device='cuda:0'),tensor(0.4165, device='cuda:0'),tensor(0.5114, device='cuda:0')
tensor([[2.2453]], device='cuda:0'),tensor(0.0589, device='cuda:0'),tensor(0.8284, device='cuda:0')
tensor([[1.6323]], device='cuda:0'),tensor(0.4310, device='cuda:0'),tensor(0.4161, device='cuda:0')
tensor([[1.3675]], device='cuda:0'),tensor(0.7515, device='cuda:0'),tensor(0.4556, device='cuda:0')
tensor([[1.9445]], device='cuda:0'),tensor(0.1390, device='cuda:0'),tensor(0.6369, device='cuda:0')
tensor([[1.1341]], device='cuda:0'),tensor(0.3444, device='cuda:0'),tensor(0.3819, device='cuda:0')
tensor([[-0.0688]], device='cuda:0'),tensor(0.9371, device='cuda:0'),tensor(0.1085, device='cuda:0')
tensor([[0.4084]], device='cuda:0'),tensor(0.9313, device='cuda:0'),tensor(0.1665, device='cuda:0')
tensor([[2.1594]], device='cuda:0'),tensor(0.3090, device='cuda:0'),tensor(0.6542, device='cuda:0')
tensor([[1.3919]], device='cuda:0'),tensor(0.8690, device='cuda:0'),tensor(0.3614, device='cuda:0')
tensor([[1.2279]], device='cuda:0'),tensor(0.9299, device='cuda:0'),tensor(0.2290, device='cuda:0')
tensor([[1.3190]], device='cuda:0'),tensor(0.3919, device='cuda:0'),tensor(0.3958, device='cuda:0')
tensor([[1.8236]], device='cuda:0'),tensor(0.2907, device='cuda:0'),tensor(0.5435, device='cuda:0')
tensor([[2.0326]], device='cuda:0'),tensor(0.4245, device='cuda:0'),tensor(0.4897, device='cuda:0')
tensor([[0.9144]], device='cuda:0'),tensor(0.5813, device='cuda:0'),tensor(0.3226, device='cuda:0')
tensor([[1.3496]], device='cuda:0'),tensor(0.1949, device='cuda:0'),tensor(0.5774, device='cuda:0')
tensor([[1.4397]], device='cuda:0'),tensor(0.1313, device='cuda:0'),tensor(0.6332, device='cuda:0')
tensor([[0.4084]], device='cuda:0'),tensor(0.9313, device='cuda:0'),tensor(0.1665, device='cuda:0')
tensor([[1.4465]], device='cuda:0'),tensor(0.9152, device='cuda:0'),tensor(0.2495, device='cuda:0')
tensor([[0.0442]], device='cuda:0'),tensor(0.9393, device='cuda:0'),tensor(0.2518, device='cuda:0')
tensor([[1.0180]], device='cuda:0'),tensor(0.5018, device='cuda:0'),tensor(0.3839, device='cuda:0')
tensor([[2.0582]], device='cuda:0'),tensor(0.1849, device='cuda:0'),tensor(0.6287, device='cuda:0')
tensor([[0.7890]], device='cuda:0'),tensor(0.9670, device='cuda:0'),tensor(0.2955, device='cuda:0')
tensor([[1.5441]], device='cuda:0'),tensor(0.8999, device='cuda:0'),tensor(0.3335, device='cuda:0')
tensor([[2.5777]], device='cuda:0'),tensor(0.1660, device='cuda:0'),tensor(0.8809, device='cuda:0')
tensor([[0.8629]], device='cuda:0'),tensor(0.7753, device='cuda:0'),tensor(0.6092, device='cuda:0')
tensor([[1.2563]], device='cuda:0'),tensor(0.8184, device='cuda:0'),tensor(0.2383, device='cuda:0')
tensor([[2.0720]], device='cuda:0'),tensor(0.0940, device='cuda:0'),tensor(0.8396, device='cuda:0')
tensor([[2.1093]], device='cuda:0'),tensor(0.1556, device='cuda:0'),tensor(0.6173, device='cuda:0')
tensor([[0.1415]], device='cuda:0'),tensor(0.7701, device='cuda:0'),tensor(0.3920, device='cuda:0')
tensor([[1.2547]], device='cuda:0'),tensor(0.3344, device='cuda:0'),tensor(0.4370, device='cuda:0')
tensor([[1.5441]], device='cuda:0'),tensor(0.8999, device='cuda:0'),tensor(0.3335, device='cuda:0')
tensor([[1.6128]], device='cuda:0'),tensor(0.3746, device='cuda:0'),tensor(0.6490, device='cuda:0')
tensor([[1.9963]], device='cuda:0'),tensor(0.0920, device='cuda:0'),tensor(0.8410, device='cuda:0')
tensor([[1.3882]], device='cuda:0'),tensor(0.9672, device='cuda:0'),tensor(0.2913, device='cuda:0')
tensor([[2.1093]], device='cuda:0'),tensor(0.1556, device='cuda:0'),tensor(0.6173, device='cuda:0')
tensor([[0.8811]], device='cuda:0'),tensor(0.9661, device='cuda:0'),tensor(0.2409, device='cuda:0')
tensor([[2.1381]], device='cuda:0'),tensor(0.2056, device='cuda:0'),tensor(0.7477, device='cuda:0')
tensor([[2.9397]], device='cuda:0'),tensor(0.1556, device='cuda:0'),tensor(0.5683, device='cuda:0')
tensor([[1.5691]], device='cuda:0'),tensor(0.3777, device='cuda:0'),tensor(0.5175, device='cuda:0')
tensor([[1.8533]], device='cuda:0'),tensor(0.0575, device='cuda:0'),tensor(0.8805, device='cuda:0')
tensor([[0.9449]], device='cuda:0'),tensor(0.9731, device='cuda:0'),tensor(0.0774, device='cuda:0')
tensor([[1.5315]], device='cuda:0'),tensor(0.1075, device='cuda:0'),tensor(0.7450, device='cuda:0')
tensor([[1.5441]], device='cuda:0'),tensor(0.8999, device='cuda:0'),tensor(0.3335, device='cuda:0')
tensor([[0.1348]], device='cuda:0'),tensor(0.9740, device='cuda:0'),tensor(0.2224, device='cuda:0')
tensor([[1.0180]], device='cuda:0'),tensor(0.5018, device='cuda:0'),tensor(0.3839, device='cuda:0')
tensor([[1.7655]], device='cuda:0'),tensor(0.8581, device='cuda:0'),tensor(0.5170, device='cuda:0')
tensor([[0.7669]], device='cuda:0'),tensor(0.7699, device='cuda:0'),tensor(0.3688, device='cuda:0')
tensor([[0.8567]], device='cuda:0'),tensor(0.6266, device='cuda:0'),tensor(0.5709, device='cuda:0')
tensor([[1.9059]], device='cuda:0'),tensor(0.5898, device='cuda:0'),tensor(0.7195, device='cuda:0')
tensor([[1.5854]], device='cuda:0'),tensor(0.8156, device='cuda:0'),tensor(0.5077, device='cuda:0')
tensor([[1.0759]], device='cuda:0'),tensor(0.7955, device='cuda:0'),tensor(0.5247, device='cuda:0')
tensor([[1.4301]], device='cuda:0'),tensor(0.7737, device='cuda:0'),tensor(0.3889, device='cuda:0')
tensor([[1.0055]], device='cuda:0'),tensor(0.9543, device='cuda:0'),tensor(0.3750, device='cuda:0')
tensor([[1.0284]], device='cuda:0'),tensor(0.6762, device='cuda:0'),tensor(0.2960, device='cuda:0')
tensor([[1.1134]], device='cuda:0'),tensor(0.7559, device='cuda:0'),tensor(0.4201, device='cuda:0')
tensor([[2.5777]], device='cuda:0'),tensor(0.1660, device='cuda:0'),tensor(0.8809, device='cuda:0')
tensor([[0.6922]], device='cuda:0'),tensor(0.8012, device='cuda:0'),tensor(0.6489, device='cuda:0')
tensor([[1.4465]], device='cuda:0'),tensor(0.9152, device='cuda:0'),tensor(0.2495, device='cuda:0')
tensor([[1.3795]], device='cuda:0'),tensor(0.5025, device='cuda:0'),tensor(0.8073, device='cuda:0')
tensor([[0.9339]], device='cuda:0'),tensor(0.8368, device='cuda:0'),tensor(0.2347, device='cuda:0')
tensor([[0.9944]], device='cuda:0'),tensor(0.8165, device='cuda:0'),tensor(0.3671, device='cuda:0')
tensor([[1.8236]], device='cuda:0'),tensor(0.2907, device='cuda:0'),tensor(0.5435, device='cuda:0')
tensor([[1.9963]], device='cuda:0'),tensor(0.0920, device='cuda:0'),tensor(0.8410, device='cuda:0')
tensor([[1.8236]], device='cuda:0'),tensor(0.2907, device='cuda:0'),tensor(0.5435, device='cuda:0')
tensor([[2.6968]], device='cuda:0'),tensor(0.1213, device='cuda:0'),tensor(0.6649, device='cuda:0')
tensor([[1.0864]], device='cuda:0'),tensor(0.8528, device='cuda:0'),tensor(0.2489, device='cuda:0')
tensor([[1.1154]], device='cuda:0'),tensor(0.3929, device='cuda:0'),tensor(0.4562, device='cuda:0')
tensor([[2.2646]], device='cuda:0'),tensor(0.1539, device='cuda:0'),tensor(0.7173, device='cuda:0')
tensor([[1.9283]], device='cuda:0'),tensor(0.0747, device='cuda:0'),tensor(0.7723, device='cuda:0')
