tensor([[1.9814]], device='cuda:0'),tensor(0.3734, device='cuda:0')
tensor([[0.8128]], device='cuda:0'),tensor(0.2296, device='cuda:0')
tensor([[1.2341]], device='cuda:0'),tensor(0.3606, device='cuda:0')
tensor([[1.5152]], device='cuda:0'),tensor(0.3091, device='cuda:0')
tensor([[1.8394]], device='cuda:0'),tensor(0.6184, device='cuda:0')
tensor([[0.2914]], device='cuda:0'),tensor(0.1445, device='cuda:0')
tensor([[0.0949]], device='cuda:0'),tensor(0.3520, device='cuda:0')
tensor([[0.8101]], device='cuda:0'),tensor(0.3623, device='cuda:0')
tensor([[2.2484]], device='cuda:0'),tensor(0.4841, device='cuda:0')
tensor([[1.6254]], device='cuda:0'),tensor(0.2562, device='cuda:0')
tensor([[1.3130]], device='cuda:0'),tensor(0.3947, device='cuda:0')
tensor([[0.8548]], device='cuda:0'),tensor(0.3317, device='cuda:0')
tensor([[1.6503]], device='cuda:0'),tensor(0.2922, device='cuda:0')
tensor([[1.0809]], device='cuda:0'),tensor(0.3091, device='cuda:0')
tensor([[1.6154]], device='cuda:0'),tensor(0.7010, device='cuda:0')
tensor([[0.3979]], device='cuda:0'),tensor(0.6311, device='cuda:0')
tensor([[1.4267]], device='cuda:0'),tensor(0.2761, device='cuda:0')
tensor([[1.2913]], device='cuda:0'),tensor(0.4521, device='cuda:0')
tensor([[1.3422]], device='cuda:0'),tensor(0.3678, device='cuda:0')
tensor([[2.2894]], device='cuda:0'),tensor(0.6956, device='cuda:0')
tensor([[2.5200]], device='cuda:0'),tensor(0.6862, device='cuda:0')
tensor([[0.9542]], device='cuda:0'),tensor(0.5914, device='cuda:0')
tensor([[1.9746]], device='cuda:0'),tensor(0.7710, device='cuda:0')
tensor([[1.5669]], device='cuda:0'),tensor(0.5966, device='cuda:0')
tensor([[2.2355]], device='cuda:0'),tensor(0.4557, device='cuda:0')
tensor([[2.1146]], device='cuda:0'),tensor(0.7233, device='cuda:0')
tensor([[1.5979]], device='cuda:0'),tensor(0.5718, device='cuda:0')
tensor([[0.2725]], device='cuda:0'),tensor(0.1525, device='cuda:0')
tensor([[1.9548]], device='cuda:0'),tensor(0.1513, device='cuda:0')
tensor([[2.1258]], device='cuda:0'),tensor(0.4209, device='cuda:0')
tensor([[0.7578]], device='cuda:0'),tensor(0.1836, device='cuda:0')
tensor([[1.1126]], device='cuda:0'),tensor(0.3647, device='cuda:0')
tensor([[1.5366]], device='cuda:0'),tensor(0.4047, device='cuda:0')
tensor([[0.3847]], device='cuda:0'),tensor(0.4707, device='cuda:0')
tensor([[1.5910]], device='cuda:0'),tensor(0.3138, device='cuda:0')
tensor([[1.5750]], device='cuda:0'),tensor(0.4711, device='cuda:0')
tensor([[0.3965]], device='cuda:0'),tensor(0.2207, device='cuda:0')
tensor([[1.9430]], device='cuda:0'),tensor(0.5446, device='cuda:0')
tensor([[0.7806]], device='cuda:0'),tensor(0.4163, device='cuda:0')
tensor([[0.9421]], device='cuda:0'),tensor(0.2684, device='cuda:0')
tensor([[1.1853]], device='cuda:0'),tensor(0.1877, device='cuda:0')
tensor([[2.2599]], device='cuda:0'),tensor(0.7066, device='cuda:0')
tensor([[1.6907]], device='cuda:0'),tensor(0.6249, device='cuda:0')
tensor([[2.3798]], device='cuda:0'),tensor(0.8307, device='cuda:0')
tensor([[1.6012]], device='cuda:0'),tensor(0.3544, device='cuda:0')
tensor([[1.0911]], device='cuda:0'),tensor(0.4522, device='cuda:0')
tensor([[0.8561]], device='cuda:0'),tensor(0.3849, device='cuda:0')
tensor([[1.7348]], device='cuda:0'),tensor(0.4311, device='cuda:0')
tensor([[0.5051]], device='cuda:0'),tensor(0.4280, device='cuda:0')
tensor([[2.5392]], device='cuda:0'),tensor(0.6082, device='cuda:0')
tensor([[0.7052]], device='cuda:0'),tensor(0.3212, device='cuda:0')
tensor([[0.0610]], device='cuda:0'),tensor(0.1766, device='cuda:0')
tensor([[2.8566]], device='cuda:0'),tensor(0.5546, device='cuda:0')
tensor([[1.9680]], device='cuda:0'),tensor(0.3845, device='cuda:0')
tensor([[1.5889]], device='cuda:0'),tensor(0.7317, device='cuda:0')
tensor([[0.7740]], device='cuda:0'),tensor(0.4042, device='cuda:0')
tensor([[1.6821]], device='cuda:0'),tensor(0.3141, device='cuda:0')
tensor([[1.5516]], device='cuda:0'),tensor(0.2286, device='cuda:0')
tensor([[0.5652]], device='cuda:0'),tensor(0.1052, device='cuda:0')
tensor([[1.4285]], device='cuda:0'),tensor(0.4602, device='cuda:0')
tensor([[0.9692]], device='cuda:0'),tensor(0.2801, device='cuda:0')
tensor([[1.3711]], device='cuda:0'),tensor(0.2774, device='cuda:0')
tensor([[0.2731]], device='cuda:0'),tensor(0.0605, device='cuda:0')
