tensor([[0.3251]], device='cuda:0'),tensor(0.8733, device='cuda:0')
tensor([[1.2626]], device='cuda:0'),tensor(0.4635, device='cuda:0')
tensor([[1.3811]], device='cuda:0'),tensor(0.9573, device='cuda:0')
tensor([[2.6289]], device='cuda:0'),tensor(0.1184, device='cuda:0')
tensor([[1.3107]], device='cuda:0'),tensor(0.2984, device='cuda:0')
tensor([[1.6879]], device='cuda:0'),tensor(0.7266, device='cuda:0')
tensor([[2.1257]], device='cuda:0'),tensor(0.1917, device='cuda:0')
tensor([[-0.0154]], device='cuda:0'),tensor(0.8015, device='cuda:0')
tensor([[1.0776]], device='cuda:0'),tensor(0.6832, device='cuda:0')
tensor([[1.8656]], device='cuda:0'),tensor(0.6999, device='cuda:0')
tensor([[1.1553]], device='cuda:0'),tensor(0.4577, device='cuda:0')
tensor([[1.9490]], device='cuda:0'),tensor(0.9100, device='cuda:0')
tensor([[0.8568]], device='cuda:0'),tensor(0.6961, device='cuda:0')
tensor([[1.2763]], device='cuda:0'),tensor(0.3359, device='cuda:0')
tensor([[3.3715]], device='cuda:0'),tensor(0.1181, device='cuda:0')
tensor([[2.0490]], device='cuda:0'),tensor(0.8060, device='cuda:0')
tensor([[1.6237]], device='cuda:0'),tensor(0.8528, device='cuda:0')
tensor([[1.7286]], device='cuda:0'),tensor(0.7372, device='cuda:0')
tensor([[0.8659]], device='cuda:0'),tensor(0.9510, device='cuda:0')
tensor([[0.5652]], device='cuda:0'),tensor(0.9525, device='cuda:0')
tensor([[0.8101]], device='cuda:0'),tensor(0.6418, device='cuda:0')
tensor([[0.2106]], device='cuda:0'),tensor(0.7278, device='cuda:0')
tensor([[1.6635]], device='cuda:0'),tensor(0.3331, device='cuda:0')
tensor([[1.8607]], device='cuda:0'),tensor(0.4917, device='cuda:0')
tensor([[0.9918]], device='cuda:0'),tensor(0.4592, device='cuda:0')
tensor([[0.7061]], device='cuda:0'),tensor(0.5967, device='cuda:0')
tensor([[1.9764]], device='cuda:0'),tensor(0.4361, device='cuda:0')
tensor([[1.1853]], device='cuda:0'),tensor(0.8918, device='cuda:0')
tensor([[1.4274]], device='cuda:0'),tensor(0.5525, device='cuda:0')
tensor([[0.0949]], device='cuda:0'),tensor(0.6367, device='cuda:0')
tensor([[2.0736]], device='cuda:0'),tensor(0.9261, device='cuda:0')
tensor([[0.4883]], device='cuda:0'),tensor(0.9556, device='cuda:0')
tensor([[1.3916]], device='cuda:0'),tensor(0.7482, device='cuda:0')
tensor([[2.6389]], device='cuda:0'),tensor(0.0475, device='cuda:0')
tensor([[1.8553]], device='cuda:0'),tensor(0.2001, device='cuda:0')
tensor([[1.9394]], device='cuda:0'),tensor(0.4710, device='cuda:0')
tensor([[2.0445]], device='cuda:0'),tensor(0.5649, device='cuda:0')
tensor([[0.8030]], device='cuda:0'),tensor(0.9758, device='cuda:0')
tensor([[1.4098]], device='cuda:0'),tensor(0.8180, device='cuda:0')
tensor([[2.0290]], device='cuda:0'),tensor(0.2779, device='cuda:0')
tensor([[1.8578]], device='cuda:0'),tensor(0.5542, device='cuda:0')
tensor([[1.2850]], device='cuda:0'),tensor(0.2862, device='cuda:0')
tensor([[2.6010]], device='cuda:0'),tensor(0.9181, device='cuda:0')
tensor([[1.7371]], device='cuda:0'),tensor(0.3984, device='cuda:0')
tensor([[2.2408]], device='cuda:0'),tensor(0.1572, device='cuda:0')
tensor([[2.1182]], device='cuda:0'),tensor(0.2448, device='cuda:0')
tensor([[0.4917]], device='cuda:0'),tensor(0.9082, device='cuda:0')
tensor([[2.2738]], device='cuda:0'),tensor(0.7210, device='cuda:0')
tensor([[2.6907]], device='cuda:0'),tensor(0.9160, device='cuda:0')
tensor([[1.0908]], device='cuda:0'),tensor(0.5500, device='cuda:0')
tensor([[-0.0137]], device='cuda:0'),tensor(0.9214, device='cuda:0')
tensor([[2.3219]], device='cuda:0'),tensor(0.6198, device='cuda:0')
tensor([[0.4249]], device='cuda:0'),tensor(0.6469, device='cuda:0')
tensor([[1.5603]], device='cuda:0'),tensor(0.8310, device='cuda:0')
tensor([[0.0860]], device='cuda:0'),tensor(0.9447, device='cuda:0')
tensor([[1.0449]], device='cuda:0'),tensor(0.9247, device='cuda:0')
tensor([[0.8189]], device='cuda:0'),tensor(0.8674, device='cuda:0')
tensor([[3.0291]], device='cuda:0'),tensor(0.7032, device='cuda:0')
tensor([[0.0949]], device='cuda:0'),tensor(0.6367, device='cuda:0')
tensor([[1.5170]], device='cuda:0'),tensor(0.8317, device='cuda:0')
tensor([[0.5061]], device='cuda:0'),tensor(0.8923, device='cuda:0')
tensor([[0.8605]], device='cuda:0'),tensor(0.9214, device='cuda:0')
tensor([[1.1853]], device='cuda:0'),tensor(0.8918, device='cuda:0')
tensor([[0.3776]], device='cuda:0'),tensor(0.9130, device='cuda:0')
tensor([[1.0483]], device='cuda:0'),tensor(0.3941, device='cuda:0')
tensor([[1.2534]], device='cuda:0'),tensor(0.7791, device='cuda:0')
tensor([[0.9785]], device='cuda:0'),tensor(0.9148, device='cuda:0')
tensor([[1.4042]], device='cuda:0'),tensor(0.8627, device='cuda:0')
tensor([[1.6753]], device='cuda:0'),tensor(0.5965, device='cuda:0')
tensor([[0.9515]], device='cuda:0'),tensor(0.8240, device='cuda:0')
tensor([[0.4613]], device='cuda:0'),tensor(0.6799, device='cuda:0')
tensor([[1.3430]], device='cuda:0'),tensor(0.9433, device='cuda:0')
tensor([[1.4051]], device='cuda:0'),tensor(0.4365, device='cuda:0')
tensor([[1.9269]], device='cuda:0'),tensor(0.2870, device='cuda:0')
tensor([[2.0463]], device='cuda:0'),tensor(0.9796, device='cuda:0')
tensor([[0.9473]], device='cuda:0'),tensor(0.6730, device='cuda:0')
tensor([[2.3711]], device='cuda:0'),tensor(0.1993, device='cuda:0')
tensor([[0.3461]], device='cuda:0'),tensor(0.9199, device='cuda:0')
tensor([[2.2104]], device='cuda:0'),tensor(0.1750, device='cuda:0')
tensor([[0.0905]], device='cuda:0'),tensor(0.9562, device='cuda:0')
tensor([[1.4905]], device='cuda:0'),tensor(0.8517, device='cuda:0')
tensor([[0.8101]], device='cuda:0'),tensor(0.6418, device='cuda:0')
tensor([[2.0445]], device='cuda:0'),tensor(0.5649, device='cuda:0')
tensor([[1.4373]], device='cuda:0'),tensor(0.2184, device='cuda:0')
tensor([[1.3817]], device='cuda:0'),tensor(0.5699, device='cuda:0')
tensor([[1.4581]], device='cuda:0'),tensor(0.7925, device='cuda:0')
tensor([[1.9850]], device='cuda:0'),tensor(0.7157, device='cuda:0')
tensor([[0.6519]], device='cuda:0'),tensor(0.6967, device='cuda:0')
tensor([[1.4426]], device='cuda:0'),tensor(0.6292, device='cuda:0')
tensor([[1.2902]], device='cuda:0'),tensor(0.7767, device='cuda:0')
tensor([[1.7719]], device='cuda:0'),tensor(0.1379, device='cuda:0')
tensor([[1.5103]], device='cuda:0'),tensor(0.2913, device='cuda:0')
tensor([[0.7805]], device='cuda:0'),tensor(0.9669, device='cuda:0')
tensor([[1.3451]], device='cuda:0'),tensor(0.9185, device='cuda:0')
tensor([[3.0302]], device='cuda:0'),tensor(0.2320, device='cuda:0')
tensor([[1.7479]], device='cuda:0'),tensor(0.1790, device='cuda:0')
tensor([[0.7557]], device='cuda:0'),tensor(0.8190, device='cuda:0')
tensor([[1.7582]], device='cuda:0'),tensor(0.7519, device='cuda:0')
tensor([[1.0103]], device='cuda:0'),tensor(0.3737, device='cuda:0')
tensor([[0.8770]], device='cuda:0'),tensor(0.9715, device='cuda:0')
tensor([[1.9961]], device='cuda:0'),tensor(0.5984, device='cuda:0')
tensor([[1.1472]], device='cuda:0'),tensor(0.9133, device='cuda:0')
tensor([[1.3638]], device='cuda:0'),tensor(0.5368, device='cuda:0')
tensor([[1.0913]], device='cuda:0'),tensor(0.4172, device='cuda:0')
tensor([[1.0724]], device='cuda:0'),tensor(0.9092, device='cuda:0')
tensor([[2.3437]], device='cuda:0'),tensor(0.6114, device='cuda:0')
tensor([[1.5190]], device='cuda:0'),tensor(0.5250, device='cuda:0')
tensor([[2.1013]], device='cuda:0'),tensor(0.5569, device='cuda:0')
tensor([[1.7083]], device='cuda:0'),tensor(0.5916, device='cuda:0')
tensor([[1.4147]], device='cuda:0'),tensor(0.9106, device='cuda:0')
tensor([[2.2379]], device='cuda:0'),tensor(0.3379, device='cuda:0')
tensor([[0.4696]], device='cuda:0'),tensor(0.9668, device='cuda:0')
tensor([[2.0445]], device='cuda:0'),tensor(0.5649, device='cuda:0')
tensor([[0.8435]], device='cuda:0'),tensor(0.3731, device='cuda:0')
tensor([[1.7420]], device='cuda:0'),tensor(0.4923, device='cuda:0')
tensor([[1.4006]], device='cuda:0'),tensor(0.2551, device='cuda:0')
tensor([[1.8008]], device='cuda:0'),tensor(0.2220, device='cuda:0')
tensor([[1.9293]], device='cuda:0'),tensor(0.1250, device='cuda:0')
tensor([[0.0527]], device='cuda:0'),tensor(0.9163, device='cuda:0')
tensor([[0.9955]], device='cuda:0'),tensor(0.1785, device='cuda:0')
tensor([[1.4031]], device='cuda:0'),tensor(0.9036, device='cuda:0')
tensor([[1.8442]], device='cuda:0'),tensor(0.2872, device='cuda:0')
tensor([[2.1449]], device='cuda:0'),tensor(0.1694, device='cuda:0')
tensor([[1.7197]], device='cuda:0'),tensor(0.4014, device='cuda:0')
tensor([[0.7052]], device='cuda:0'),tensor(0.7748, device='cuda:0')
tensor([[1.2204]], device='cuda:0'),tensor(0.4437, device='cuda:0')
tensor([[1.8035]], device='cuda:0'),tensor(0.6583, device='cuda:0')
tensor([[1.7482]], device='cuda:0'),tensor(0.1054, device='cuda:0')
tensor([[0.6347]], device='cuda:0'),tensor(0.6780, device='cuda:0')
tensor([[1.3330]], device='cuda:0'),tensor(0.2694, device='cuda:0')
tensor([[1.4312]], device='cuda:0'),tensor(0.1994, device='cuda:0')
tensor([[0.9694]], device='cuda:0'),tensor(0.7861, device='cuda:0')
tensor([[1.8220]], device='cuda:0'),tensor(0.0821, device='cuda:0')
tensor([[0.4091]], device='cuda:0'),tensor(0.7690, device='cuda:0')
tensor([[2.1817]], device='cuda:0'),tensor(0.6650, device='cuda:0')
tensor([[3.7076]], device='cuda:0'),tensor(0.6942, device='cuda:0')
tensor([[1.8483]], device='cuda:0'),tensor(0.3590, device='cuda:0')
tensor([[0.1474]], device='cuda:0'),tensor(0.5998, device='cuda:0')
tensor([[1.4898]], device='cuda:0'),tensor(0.9597, device='cuda:0')
tensor([[1.9862]], device='cuda:0'),tensor(0.8614, device='cuda:0')
tensor([[2.6275]], device='cuda:0'),tensor(0.1898, device='cuda:0')
tensor([[1.4982]], device='cuda:0'),tensor(0.5944, device='cuda:0')
tensor([[1.3791]], device='cuda:0'),tensor(0.6393, device='cuda:0')
tensor([[2.1311]], device='cuda:0'),tensor(0.1849, device='cuda:0')
tensor([[0.4738]], device='cuda:0'),tensor(0.9657, device='cuda:0')
tensor([[1.0988]], device='cuda:0'),tensor(0.7701, device='cuda:0')
tensor([[1.1840]], device='cuda:0'),tensor(0.8528, device='cuda:0')
tensor([[1.2422]], device='cuda:0'),tensor(0.7947, device='cuda:0')
tensor([[2.0025]], device='cuda:0'),tensor(0.3882, device='cuda:0')
tensor([[1.8190]], device='cuda:0'),tensor(0.5081, device='cuda:0')
tensor([[1.3507]], device='cuda:0'),tensor(0.9278, device='cuda:0')
tensor([[2.6819]], device='cuda:0'),tensor(0.5224, device='cuda:0')
tensor([[-0.3657]], device='cuda:0'),tensor(0.9466, device='cuda:0')
tensor([[1.9030]], device='cuda:0'),tensor(0.3392, device='cuda:0')
tensor([[1.5170]], device='cuda:0'),tensor(0.8317, device='cuda:0')
tensor([[1.0141]], device='cuda:0'),tensor(0.9522, device='cuda:0')
tensor([[0.4083]], device='cuda:0'),tensor(0.9810, device='cuda:0')
tensor([[1.6617]], device='cuda:0'),tensor(0.6031, device='cuda:0')
tensor([[1.3348]], device='cuda:0'),tensor(0.2835, device='cuda:0')
tensor([[0.8526]], device='cuda:0'),tensor(0.3121, device='cuda:0')
tensor([[1.2087]], device='cuda:0'),tensor(0.8083, device='cuda:0')
tensor([[0.4464]], device='cuda:0'),tensor(0.9542, device='cuda:0')
tensor([[1.3496]], device='cuda:0'),tensor(0.3831, device='cuda:0')
tensor([[2.5578]], device='cuda:0'),tensor(0.3303, device='cuda:0')
tensor([[0.0949]], device='cuda:0'),tensor(0.6367, device='cuda:0')
tensor([[2.0343]], device='cuda:0'),tensor(0.5218, device='cuda:0')
tensor([[2.1472]], device='cuda:0'),tensor(0.1241, device='cuda:0')
tensor([[1.8016]], device='cuda:0'),tensor(0.4388, device='cuda:0')
tensor([[1.0301]], device='cuda:0'),tensor(0.8803, device='cuda:0')
tensor([[2.4221]], device='cuda:0'),tensor(0.7089, device='cuda:0')
tensor([[0.2425]], device='cuda:0'),tensor(0.8581, device='cuda:0')
tensor([[1.5879]], device='cuda:0'),tensor(0.1159, device='cuda:0')
tensor([[1.4557]], device='cuda:0'),tensor(0.7297, device='cuda:0')
tensor([[0.2396]], device='cuda:0'),tensor(0.8044, device='cuda:0')
tensor([[2.1916]], device='cuda:0'),tensor(0.3949, device='cuda:0')
tensor([[1.9978]], device='cuda:0'),tensor(0.1583, device='cuda:0')
tensor([[0.9875]], device='cuda:0'),tensor(0.9600, device='cuda:0')
tensor([[1.4540]], device='cuda:0'),tensor(0.3418, device='cuda:0')
tensor([[1.0256]], device='cuda:0'),tensor(0.7664, device='cuda:0')
tensor([[1.3934]], device='cuda:0'),tensor(0.6051, device='cuda:0')
tensor([[0.9300]], device='cuda:0'),tensor(0.0949, device='cuda:0')
tensor([[0.9475]], device='cuda:0'),tensor(0.9181, device='cuda:0')
tensor([[1.2201]], device='cuda:0'),tensor(0.8548, device='cuda:0')
tensor([[0.6584]], device='cuda:0'),tensor(0.9574, device='cuda:0')
tensor([[0.9694]], device='cuda:0'),tensor(0.7861, device='cuda:0')
tensor([[-0.1609]], device='cuda:0'),tensor(0.9571, device='cuda:0')
tensor([[1.2726]], device='cuda:0'),tensor(0.9022, device='cuda:0')
tensor([[2.0228]], device='cuda:0'),tensor(0.1017, device='cuda:0')
tensor([[2.0875]], device='cuda:0'),tensor(0.1921, device='cuda:0')
tensor([[0.8561]], device='cuda:0'),tensor(0.8419, device='cuda:0')
tensor([[1.2293]], device='cuda:0'),tensor(0.5459, device='cuda:0')
tensor([[2.0697]], device='cuda:0'),tensor(0.7403, device='cuda:0')
tensor([[1.4849]], device='cuda:0'),tensor(0.4522, device='cuda:0')
tensor([[2.8709]], device='cuda:0'),tensor(0.2783, device='cuda:0')
tensor([[1.3534]], device='cuda:0'),tensor(0.3272, device='cuda:0')
tensor([[1.0845]], device='cuda:0'),tensor(0.6846, device='cuda:0')
tensor([[0.7522]], device='cuda:0'),tensor(0.8181, device='cuda:0')
tensor([[1.1641]], device='cuda:0'),tensor(0.9430, device='cuda:0')
tensor([[1.8738]], device='cuda:0'),tensor(0.1281, device='cuda:0')
tensor([[1.4416]], device='cuda:0'),tensor(0.9262, device='cuda:0')
tensor([[1.7719]], device='cuda:0'),tensor(0.1379, device='cuda:0')
tensor([[1.2606]], device='cuda:0'),tensor(0.4293, device='cuda:0')
tensor([[0.4684]], device='cuda:0'),tensor(0.9272, device='cuda:0')
tensor([[1.0082]], device='cuda:0'),tensor(0.4301, device='cuda:0')
tensor([[-0.1452]], device='cuda:0'),tensor(0.9648, device='cuda:0')
tensor([[1.9954]], device='cuda:0'),tensor(0.1734, device='cuda:0')
