tensor([[1.7180]], device='cuda:0'),tensor(0.6251, device='cuda:0')
tensor([[2.0112]], device='cuda:0'),tensor(0.7445, device='cuda:0')
tensor([[2.9302]], device='cuda:0'),tensor(0.6655, device='cuda:0')
tensor([[2.2490]], device='cuda:0'),tensor(0.7481, device='cuda:0')
tensor([[1.5493]], device='cuda:0'),tensor(0.8772, device='cuda:0')
tensor([[1.5493]], device='cuda:0'),tensor(0.5824, device='cuda:0')
tensor([[2.0950]], device='cuda:0'),tensor(0.6291, device='cuda:0')
tensor([[2.1325]], device='cuda:0'),tensor(0.3480, device='cuda:0')
tensor([[1.4793]], device='cuda:0'),tensor(0.5473, device='cuda:0')
tensor([[1.7953]], device='cuda:0'),tensor(0.4738, device='cuda:0')
tensor([[2.3091]], device='cuda:0'),tensor(0.6497, device='cuda:0')
tensor([[2.5258]], device='cuda:0'),tensor(0.7003, device='cuda:0')
tensor([[1.7180]], device='cuda:0'),tensor(0.6251, device='cuda:0')
tensor([[1.5531]], device='cuda:0'),tensor(0.7315, device='cuda:0')
tensor([[1.5171]], device='cuda:0'),tensor(0.7312, device='cuda:0')
tensor([[1.6341]], device='cuda:0'),tensor(0.7682, device='cuda:0')
tensor([[3.3039]], device='cuda:0'),tensor(0.3932, device='cuda:0')
tensor([[2.7681]], device='cuda:0'),tensor(0.6259, device='cuda:0')
tensor([[2.1392]], device='cuda:0'),tensor(0.7015, device='cuda:0')
tensor([[1.5149]], device='cuda:0'),tensor(0.5666, device='cuda:0')
tensor([[1.9744]], device='cuda:0'),tensor(0.6805, device='cuda:0')
tensor([[1.9561]], device='cuda:0'),tensor(0.8632, device='cuda:0')
tensor([[1.2422]], device='cuda:0'),tensor(0.6409, device='cuda:0')
tensor([[1.7773]], device='cuda:0'),tensor(0.5721, device='cuda:0')
tensor([[2.1036]], device='cuda:0'),tensor(0.6949, device='cuda:0')
tensor([[2.5713]], device='cuda:0'),tensor(0.7419, device='cuda:0')
tensor([[0.5108]], device='cuda:0'),tensor(0.5557, device='cuda:0')
tensor([[2.0627]], device='cuda:0'),tensor(0.6658, device='cuda:0')
tensor([[1.4793]], device='cuda:0'),tensor(0.5473, device='cuda:0')
tensor([[2.3611]], device='cuda:0'),tensor(0.4147, device='cuda:0')
tensor([[1.3664]], device='cuda:0'),tensor(0.4582, device='cuda:0')
tensor([[2.5400]], device='cuda:0'),tensor(0.7800, device='cuda:0')
tensor([[2.2557]], device='cuda:0'),tensor(0.4222, device='cuda:0')
tensor([[2.3476]], device='cuda:0'),tensor(0.5885, device='cuda:0')
tensor([[2.1492]], device='cuda:0'),tensor(0.5357, device='cuda:0')
tensor([[2.6987]], device='cuda:0'),tensor(0.2668, device='cuda:0')
tensor([[2.8326]], device='cuda:0'),tensor(0.8459, device='cuda:0')
tensor([[2.0309]], device='cuda:0'),tensor(0.4476, device='cuda:0')
tensor([[3.1746]], device='cuda:0'),tensor(0.8540, device='cuda:0')
tensor([[1.6445]], device='cuda:0'),tensor(0.7225, device='cuda:0')
tensor([[2.5172]], device='cuda:0'),tensor(0.6698, device='cuda:0')
tensor([[2.2946]], device='cuda:0'),tensor(0.7529, device='cuda:0')
tensor([[2.6627]], device='cuda:0'),tensor(0.6576, device='cuda:0')
tensor([[2.3241]], device='cuda:0'),tensor(0.7635, device='cuda:0')
tensor([[2.5624]], device='cuda:0'),tensor(0.7207, device='cuda:0')
tensor([[2.1785]], device='cuda:0'),tensor(0.7096, device='cuda:0')
tensor([[1.8006]], device='cuda:0'),tensor(0.5247, device='cuda:0')
tensor([[2.2679]], device='cuda:0'),tensor(0.6497, device='cuda:0')
tensor([[1.9220]], device='cuda:0'),tensor(0.6841, device='cuda:0')
tensor([[1.9738]], device='cuda:0'),tensor(0.3619, device='cuda:0')
tensor([[1.6903]], device='cuda:0'),tensor(0.5151, device='cuda:0')
tensor([[2.4703]], device='cuda:0'),tensor(0.4441, device='cuda:0')
tensor([[1.5728]], device='cuda:0'),tensor(0.5884, device='cuda:0')
tensor([[2.1270]], device='cuda:0'),tensor(0.9062, device='cuda:0')
tensor([[2.1245]], device='cuda:0'),tensor(0.5223, device='cuda:0')
tensor([[1.7149]], device='cuda:0'),tensor(0.7799, device='cuda:0')
tensor([[2.4352]], device='cuda:0'),tensor(0.2943, device='cuda:0')
tensor([[2.5361]], device='cuda:0'),tensor(0.5656, device='cuda:0')
tensor([[1.8702]], device='cuda:0'),tensor(0.4619, device='cuda:0')
tensor([[3.4429]], device='cuda:0'),tensor(0.5828, device='cuda:0')
tensor([[1.5324]], device='cuda:0'),tensor(0.7811, device='cuda:0')
tensor([[0.9854]], device='cuda:0'),tensor(0.5319, device='cuda:0')
tensor([[2.0061]], device='cuda:0'),tensor(0.6310, device='cuda:0')
tensor([[3.1746]], device='cuda:0'),tensor(0.8540, device='cuda:0')
