fixing (0,18,4) with sin, r2=0.9992897510528564, c=2
fixing (0,19,0) with sin, r2=0.9997348189353943, c=2
fixing (0,19,1) with x, r2=0.9922913312911987, c=1
fixing (0,19,2) with x, r2=0.9772157669067383, c=1
fixing (0,19,3) with sin, r2=0.9992069602012634, c=2
fixing (0,19,4) with sin, r2=0.9948518872261047, c=2
fixing (0,20,0) with x, r2=0.0, c=1
fixing (0,20,1) with x, r2=0.0, c=1
fixing (0,20,2) with x, r2=0.0, c=1
fixing (0,20,3) with x, r2=0.0, c=1
fixing (0,20,4) with x, r2=0.0, c=1
fixing (0,21,0) with x, r2=0.0, c=1
fixing (0,21,1) with x, r2=0.0, c=1
fixing (0,21,2) with x, r2=0.0, c=1
fixing (0,21,3) with x, r2=0.0, c=1
fixing (0,21,4) with x, r2=0.0, c=1
fixing (0,22,0) with x, r2=0.0, c=1
fixing (0,22,1) with x, r2=0.0, c=1
fixing (0,22,2) with x, r2=0.0, c=1
fixing (0,22,3) with x, r2=0.0, c=1
fixing (0,22,4) with x, r2=0.0, c=1
fixing (0,23,0) with x, r2=0.0, c=1
fixing (0,23,1) with x, r2=0.0, c=1
fixing (0,23,2) with x, r2=0.0, c=1
fixing (0,23,3) with x, r2=0.0, c=1
fixing (0,23,4) with x, r2=0.0, c=1
fixing (0,24,0) with x, r2=0.0, c=1
fixing (0,24,1) with x, r2=0.0, c=1
fixing (0,24,2) with x, r2=0.0, c=1
fixing (0,24,3) with x, r2=0.0, c=1
fixing (0,24,4) with x, r2=0.0, c=1
fixing (0,25,0) with x, r2=0.0, c=1
fixing (0,25,1) with x, r2=0.0, c=1
fixing (0,25,2) with x, r2=0.0, c=1
fixing (0,25,3) with x, r2=0.0, c=1
fixing (0,25,4) with x, r2=0.0, c=1
fixing (0,26,0) with x, r2=0.0, c=1
fixing (0,26,1) with x, r2=0.0, c=1
fixing (0,26,2) with x, r2=0.0, c=1
fixing (0,26,3) with x, r2=0.0, c=1
fixing (0,26,4) with x, r2=0.0, c=1
fixing (0,27,0) with x, r2=0.0, c=1
fixing (0,27,1) with x, r2=0.0, c=1
fixing (0,27,2) with x, r2=0.0, c=1
fixing (0,27,3) with x, r2=0.0, c=1
fixing (0,27,4) with x, r2=0.0, c=1
fixing (0,28,0) with x, r2=0.0, c=1
fixing (0,28,1) with x, r2=0.0, c=1
fixing (0,28,2) with x, r2=0.0, c=1
fixing (0,28,3) with x, r2=0.0, c=1
fixing (0,28,4) with x, r2=0.0, c=1
fixing (0,29,0) with x, r2=0.0, c=1
fixing (0,29,1) with x, r2=0.0, c=1
fixing (0,29,2) with x, r2=0.0, c=1
fixing (0,29,3) with x, r2=0.0, c=1
fixing (0,29,4) with x, r2=0.0, c=1
fixing (0,30,0) with x, r2=0.0, c=1
fixing (0,30,1) with x, r2=0.0, c=1
fixing (0,30,2) with x, r2=0.0, c=1
fixing (0,30,3) with x, r2=0.0, c=1
fixing (0,30,4) with x, r2=0.0, c=1
fixing (0,31,0) with x, r2=0.0, c=1
fixing (0,31,1) with x, r2=0.0, c=1
fixing (0,31,2) with x, r2=0.0, c=1
fixing (0,31,3) with x, r2=0.0, c=1
fixing (0,31,4) with x, r2=0.0, c=1
fixing (0,32,0) with x, r2=0.0, c=1
fixing (0,32,1) with x, r2=0.0, c=1
fixing (0,32,2) with x, r2=0.0, c=1
fixing (0,32,3) with x, r2=0.0, c=1
fixing (0,32,4) with x, r2=0.0, c=1
fixing (0,33,0) with x, r2=0.0, c=1
fixing (0,33,1) with x, r2=0.0, c=1
fixing (0,33,2) with x, r2=0.0, c=1
fixing (0,33,3) with x, r2=0.0, c=1
fixing (0,33,4) with x, r2=0.0, c=1
fixing (0,34,0) with x, r2=0.0, c=1
fixing (0,34,1) with x, r2=0.0, c=1
fixing (0,34,2) with x, r2=0.0, c=1
fixing (0,34,3) with x, r2=0.0, c=1
fixing (0,34,4) with x, r2=0.0, c=1
fixing (0,35,0) with x, r2=0.0, c=1
fixing (0,35,1) with x, r2=0.0, c=1
fixing (0,35,2) with x, r2=0.0, c=1
fixing (0,35,3) with x, r2=0.0, c=1
fixing (0,35,4) with x, r2=0.0, c=1
fixing (0,36,0) with x, r2=0.0, c=1
fixing (0,36,1) with x, r2=0.0, c=1
fixing (0,36,2) with x, r2=0.0, c=1
fixing (0,36,3) with x, r2=0.0, c=1
fixing (0,36,4) with x, r2=0.0, c=1
fixing (0,37,0) with x, r2=0.0, c=1
fixing (0,37,1) with x, r2=0.0, c=1
fixing (0,37,2) with x, r2=0.0, c=1
fixing (0,37,3) with x, r2=0.0, c=1
fixing (0,37,4) with x, r2=0.0, c=1
fixing (0,38,0) with x, r2=0.0, c=1
fixing (0,38,1) with x, r2=0.0, c=1
fixing (0,38,2) with x, r2=0.0, c=1
fixing (0,38,3) with x, r2=0.0, c=1
fixing (0,38,4) with x, r2=0.0, c=1
fixing (0,39,0) with x, r2=0.0, c=1
fixing (0,39,1) with x, r2=0.0, c=1
fixing (0,39,2) with x, r2=0.0, c=1
fixing (0,39,3) with x, r2=0.0, c=1
fixing (0,39,4) with x, r2=0.0, c=1
fixing (0,40,0) with x, r2=0.0, c=1
fixing (0,40,1) with x, r2=0.0, c=1
fixing (0,40,2) with x, r2=0.0, c=1
fixing (0,40,3) with x, r2=0.0, c=1
fixing (0,40,4) with x, r2=0.0, c=1
fixing (0,41,0) with x, r2=0.0, c=1
fixing (0,41,1) with x, r2=0.0, c=1
fixing (0,41,2) with x, r2=0.0, c=1
fixing (0,41,3) with x, r2=0.0, c=1
fixing (0,41,4) with x, r2=0.0, c=1
fixing (0,42,0) with x, r2=0.0, c=1
fixing (0,42,1) with x, r2=0.0, c=1
fixing (0,42,2) with x, r2=0.0, c=1
fixing (0,42,3) with x, r2=0.0, c=1
fixing (0,42,4) with x, r2=0.0, c=1
fixing (0,43,0) with x, r2=0.0, c=1
fixing (0,43,1) with x, r2=0.0, c=1
fixing (0,43,2) with x, r2=0.0, c=1
fixing (0,43,3) with x, r2=0.0, c=1
fixing (0,43,4) with x, r2=0.0, c=1
fixing (0,44,0) with x, r2=0.0, c=1
fixing (0,44,1) with x, r2=0.0, c=1
fixing (0,44,2) with x, r2=0.0, c=1
fixing (0,44,3) with x, r2=0.0, c=1
fixing (0,44,4) with x, r2=0.0, c=1
fixing (0,45,0) with x, r2=1.0000005960464478, c=1
fixing (0,45,1) with x, r2=1.0000004768371582, c=1
fixing (0,45,2) with x, r2=1.0000005960464478, c=1
fixing (0,45,3) with x, r2=1.0000005960464478, c=1
fixing (0,45,4) with x, r2=0.999993085861206, c=1
fixing (0,46,0) with x, r2=0.0, c=1
fixing (0,46,1) with x, r2=0.0, c=1
fixing (0,46,2) with x, r2=0.0, c=1
fixing (0,46,3) with x, r2=0.0, c=1
fixing (0,46,4) with x, r2=0.0, c=1
fixing (0,47,0) with x, r2=0.0, c=1
fixing (0,47,1) with x, r2=0.0, c=1
fixing (0,47,2) with x, r2=0.0, c=1
fixing (0,47,3) with x, r2=0.0, c=1
fixing (0,47,4) with x, r2=0.0, c=1
fixing (0,48,0) with x, r2=0.0, c=1
fixing (0,48,1) with x, r2=0.0, c=1
fixing (0,48,2) with x, r2=0.0, c=1
fixing (0,48,3) with x, r2=0.0, c=1
fixing (0,48,4) with x, r2=0.0, c=1
fixing (0,49,0) with x, r2=0.0, c=1
fixing (0,49,1) with x, r2=0.0, c=1
fixing (0,49,2) with x, r2=0.0, c=1
fixing (0,49,3) with x, r2=0.0, c=1
fixing (0,49,4) with x, r2=0.0, c=1
fixing (0,50,0) with x, r2=0.0, c=1
fixing (0,50,1) with x, r2=0.0, c=1
fixing (0,50,2) with x, r2=0.0, c=1
fixing (0,50,3) with x, r2=0.0, c=1
fixing (0,50,4) with x, r2=0.0, c=1
fixing (0,51,0) with x, r2=0.0, c=1
fixing (0,51,1) with x, r2=0.0, c=1
fixing (0,51,2) with x, r2=0.0, c=1
fixing (0,51,3) with x, r2=0.0, c=1
fixing (0,51,4) with x, r2=0.0, c=1
fixing (0,52,0) with x, r2=0.0, c=1
fixing (0,52,1) with x, r2=0.0, c=1
fixing (0,52,2) with x, r2=0.0, c=1
fixing (0,52,3) with x, r2=0.0, c=1
fixing (0,52,4) with x, r2=0.0, c=1
fixing (0,53,0) with x, r2=0.0, c=1
fixing (0,53,1) with x, r2=0.0, c=1
fixing (0,53,2) with x, r2=0.0, c=1
fixing (0,53,3) with x, r2=0.0, c=1
fixing (0,53,4) with x, r2=0.0, c=1
fixing (0,54,0) with x, r2=0.0, c=1
fixing (0,54,1) with x, r2=0.0, c=1
fixing (0,54,2) with x, r2=0.0, c=1
fixing (0,54,3) with x, r2=0.0, c=1
fixing (0,54,4) with x, r2=0.0, c=1
fixing (0,55,0) with x, r2=0.0, c=1
fixing (0,55,1) with x, r2=0.0, c=1
fixing (0,55,2) with x, r2=0.0, c=1
fixing (0,55,3) with x, r2=0.0, c=1
fixing (0,55,4) with x, r2=0.0, c=1
fixing (0,56,0) with x, r2=0.0, c=1
fixing (0,56,1) with x, r2=0.0, c=1
fixing (0,56,2) with x, r2=0.0, c=1
fixing (0,56,3) with x, r2=0.0, c=1
fixing (0,56,4) with x, r2=0.0, c=1
fixing (0,57,0) with x, r2=0.0, c=1
fixing (0,57,1) with x, r2=0.0, c=1
fixing (0,57,2) with x, r2=0.0, c=1
fixing (0,57,3) with x, r2=0.0, c=1
fixing (0,57,4) with x, r2=0.0, c=1
fixing (0,58,0) with x, r2=0.0, c=1
fixing (0,58,1) with x, r2=0.0, c=1
fixing (0,58,2) with x, r2=0.0, c=1
fixing (0,58,3) with x, r2=0.0, c=1
fixing (0,58,4) with x, r2=0.0, c=1
fixing (0,59,0) with x, r2=0.0, c=1
fixing (0,59,1) with x, r2=0.0, c=1
fixing (0,59,2) with x, r2=0.0, c=1
fixing (0,59,3) with x, r2=0.0, c=1
fixing (0,59,4) with x, r2=0.0, c=1
fixing (0,60,0) with x, r2=0.0, c=1
fixing (0,60,1) with x, r2=0.0, c=1
fixing (0,60,2) with x, r2=0.0, c=1
fixing (0,60,3) with x, r2=0.0, c=1
fixing (0,60,4) with x, r2=0.0, c=1
fixing (0,61,0) with x, r2=0.0, c=1
fixing (0,61,1) with x, r2=0.0, c=1
fixing (0,61,2) with x, r2=0.0, c=1
fixing (0,61,3) with x, r2=0.0, c=1
fixing (0,61,4) with x, r2=0.0, c=1
fixing (0,62,0) with x, r2=0.0, c=1
fixing (0,62,1) with x, r2=0.0, c=1
fixing (0,62,2) with x, r2=0.0, c=1
fixing (0,62,3) with x, r2=0.0, c=1
fixing (0,62,4) with x, r2=0.0, c=1
fixing (0,63,0) with x, r2=1.0000005960464478, c=1
fixing (0,63,1) with x, r2=1.0000005960464478, c=1
fixing (0,63,2) with x, r2=1.0000005960464478, c=1
fixing (0,63,3) with x, r2=1.0000005960464478, c=1
fixing (0,63,4) with x, r2=1.0000007152557373, c=1
fixing (0,64,0) with x, r2=0.0, c=1
fixing (0,64,1) with x, r2=0.0, c=1
fixing (0,64,2) with x, r2=0.0, c=1
fixing (0,64,3) with x, r2=0.0, c=1
fixing (0,64,4) with x, r2=0.0, c=1
fixing (0,65,0) with x, r2=0.0, c=1
fixing (0,65,1) with x, r2=0.0, c=1
fixing (0,65,2) with x, r2=0.0, c=1
fixing (0,65,3) with x, r2=0.0, c=1
fixing (0,65,4) with x, r2=0.0, c=1
fixing (0,66,0) with x, r2=0.0, c=1
fixing (0,66,1) with x, r2=0.0, c=1
fixing (0,66,2) with x, r2=0.0, c=1
fixing (0,66,3) with x, r2=0.0, c=1
fixing (0,66,4) with x, r2=0.0, c=1
fixing (0,67,0) with x, r2=0.0, c=1
fixing (0,67,1) with x, r2=0.0, c=1
fixing (0,67,2) with x, r2=0.0, c=1
fixing (0,67,3) with x, r2=0.0, c=1
fixing (0,67,4) with x, r2=0.0, c=1
fixing (0,68,0) with x, r2=0.0, c=1
fixing (0,68,1) with x, r2=0.0, c=1
fixing (0,68,2) with x, r2=0.0, c=1
fixing (0,68,3) with x, r2=0.0, c=1
fixing (0,68,4) with x, r2=0.0, c=1
fixing (0,69,0) with x, r2=0.0, c=1
fixing (0,69,1) with x, r2=0.0, c=1
fixing (0,69,2) with x, r2=0.0, c=1
fixing (0,69,3) with x, r2=0.0, c=1
fixing (0,69,4) with x, r2=0.0, c=1
fixing (0,70,0) with x, r2=0.0, c=1
fixing (0,70,1) with x, r2=0.0, c=1
fixing (0,70,2) with x, r2=0.0, c=1
fixing (0,70,3) with x, r2=0.0, c=1
fixing (0,70,4) with x, r2=0.0, c=1
fixing (0,71,0) with x, r2=0.0, c=1
fixing (0,71,1) with x, r2=0.0, c=1
fixing (0,71,2) with x, r2=0.0, c=1
fixing (0,71,3) with x, r2=0.0, c=1
fixing (0,71,4) with x, r2=0.0, c=1
fixing (0,72,0) with x, r2=0.0, c=1
fixing (0,72,1) with x, r2=0.0, c=1
fixing (0,72,2) with x, r2=0.0, c=1
fixing (0,72,3) with x, r2=0.0, c=1
fixing (0,72,4) with x, r2=0.0, c=1
fixing (0,73,0) with x, r2=1.0000005960464478, c=1
