fixing (0,13,5) with x, r2=0.5683804154396057, c=1
fixing (0,13,6) with x, r2=0.9680299162864685, c=1
fixing (0,14,0) with x, r2=0.7510605454444885, c=1
fixing (0,14,1) with x, r2=0.09034457057714462, c=1
fixing (0,14,2) with x, r2=0.16549889743328094, c=1
fixing (0,14,3) with x, r2=0.1343921720981598, c=1
fixing (0,14,4) with x, r2=0.7827544212341309, c=1
fixing (0,14,5) with x, r2=0.9040189385414124, c=1
fixing (0,14,6) with x, r2=0.05078272148966789, c=1
fixing (0,15,0) with x, r2=0.7133072018623352, c=1
fixing (0,15,1) with x, r2=0.4781685173511505, c=1
fixing (0,15,2) with x, r2=0.896115243434906, c=1
fixing (0,15,3) with x, r2=0.0016209265450015664, c=1
fixing (0,15,4) with x, r2=0.5985976457595825, c=1
fixing (0,15,5) with x, r2=0.5022770166397095, c=1
fixing (0,15,6) with x, r2=0.0012782197445631027, c=1
fixing (0,16,0) with x, r2=0.19820016622543335, c=1
fixing (0,16,1) with x, r2=0.3610730767250061, c=1
fixing (0,16,2) with x, r2=0.7351281046867371, c=1
fixing (0,16,3) with x, r2=0.7189152240753174, c=1
fixing (0,16,4) with x, r2=0.0009704150725156069, c=1
fixing (0,16,5) with x, r2=0.9725918769836426, c=1
fixing (0,16,6) with x, r2=0.7916571497917175, c=1
fixing (0,17,0) with x, r2=0.7051175236701965, c=1
fixing (0,17,1) with x, r2=0.8952808976173401, c=1
fixing (0,17,2) with x, r2=0.19289270043373108, c=1
fixing (0,17,3) with x, r2=0.5945029258728027, c=1
fixing (0,17,4) with x, r2=0.7791281342506409, c=1
fixing (0,17,5) with x, r2=0.5875245928764343, c=1
fixing (0,17,6) with x, r2=0.6840582489967346, c=1
fixing (0,18,0) with x, r2=0.1890345811843872, c=1
fixing (0,18,1) with x, r2=0.7770887017250061, c=1
fixing (0,18,2) with x, r2=0.7084997296333313, c=1
fixing (0,18,3) with x, r2=0.2860991954803467, c=1
fixing (0,18,4) with x, r2=0.7751564979553223, c=1
fixing (0,18,5) with x, r2=0.49629420042037964, c=1
fixing (0,18,6) with x, r2=0.8748425841331482, c=1
fixing (0,19,0) with x, r2=0.9611056447029114, c=1
fixing (0,19,1) with x, r2=0.38405799865722656, c=1
fixing (0,19,2) with x, r2=0.5863010883331299, c=1
fixing (0,19,3) with x, r2=0.9766134023666382, c=1
fixing (0,19,4) with x, r2=0.15299208462238312, c=1
fixing (0,19,5) with x, r2=0.7673556208610535, c=1
fixing (0,19,6) with x, r2=0.8958673477172852, c=1
fixing (0,20,0) with x, r2=0.0, c=1
fixing (0,20,1) with x, r2=0.0, c=1
fixing (0,20,2) with x, r2=0.0, c=1
fixing (0,20,3) with x, r2=0.0, c=1
fixing (0,20,4) with x, r2=0.0, c=1
fixing (0,20,5) with x, r2=0.0, c=1
fixing (0,20,6) with x, r2=0.0, c=1
fixing (0,21,0) with x, r2=0.0, c=1
fixing (0,21,1) with x, r2=0.0, c=1
fixing (0,21,2) with x, r2=0.0, c=1
fixing (0,21,3) with x, r2=0.0, c=1
fixing (0,21,4) with x, r2=0.0, c=1
fixing (0,21,5) with x, r2=0.0, c=1
fixing (0,21,6) with x, r2=0.0, c=1
fixing (0,22,0) with x, r2=0.0, c=1
fixing (0,22,1) with x, r2=0.0, c=1
fixing (0,22,2) with x, r2=0.0, c=1
fixing (0,22,3) with x, r2=0.0, c=1
fixing (0,22,4) with x, r2=0.0, c=1
fixing (0,22,5) with x, r2=0.0, c=1
fixing (0,22,6) with x, r2=0.0, c=1
fixing (0,23,0) with x, r2=0.0, c=1
fixing (0,23,1) with x, r2=0.0, c=1
fixing (0,23,2) with x, r2=0.0, c=1
fixing (0,23,3) with x, r2=0.0, c=1
fixing (0,23,4) with x, r2=0.0, c=1
fixing (0,23,5) with x, r2=0.0, c=1
fixing (0,23,6) with x, r2=0.0, c=1
fixing (0,24,0) with x, r2=0.0, c=1
fixing (0,24,1) with x, r2=0.0, c=1
fixing (0,24,2) with x, r2=0.0, c=1
fixing (0,24,3) with x, r2=0.0, c=1
fixing (0,24,4) with x, r2=0.0, c=1
fixing (0,24,5) with x, r2=0.0, c=1
fixing (0,24,6) with x, r2=0.0, c=1
fixing (0,25,0) with x, r2=0.0, c=1
